Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+29 Quarters
Market Capitalization,"24,562","25,890","26,730","24,837","26,574","31,394","33,868","36,790","36,065","29,133","27,747","17,705","15,343","10,998","26,588","25,806","25,118","23,368","19,815","26,196","24,571","25,518","27,951","24,009","23,644","26,367","28,432","22,825","22,091","21,091","22,922","22,632","25,497","25,202","29,698","29,742","28,900","27,401","26,679","24,451","23,364",Upgrade
Market Cap Growth,-,-17.53%,-21.08%,-32.49%,-26.32%,7.76%,22.06%,107.79%,135.07%,164.88%,4.36%,-31.39%,-38.92%,-52.93%,34.18%,-1.49%,2.22%,-8.42%,-29.11%,9.11%,3.92%,-3.22%,-1.69%,5.19%,7.03%,25.01%,24.04%,0.86%,-13.36%,-16.31%,-22.82%,-23.91%,-11.77%,-8.03%,11.32%,21.64%,23.69%,22.83%,27.02%,19.52%,31.22%,Upgrade
Enterprise Value,"32,458","33,890","37,941","33,144","35,088","38,883","42,763","42,558","39,047","29,470","35,399","40,157","23,370","25,885","45,325","44,148","38,928","34,431","31,898","36,585","34,904","34,664","40,890","36,218","37,039","36,927","41,866","36,632","36,057","32,698","37,901","36,084","38,391","36,369","44,965","43,314","41,893","37,813","40,557","37,434","35,378",Upgrade
PE Ratio,6.49,6.41,6.21,5.72,6.00,6.27,6.33,7.24,7.55,10.70,25.13,17.55,15.24,5.18,9.14,8.95,8.87,8.50,7.37,11.07,10.89,12.00,13.76,10.81,10.47,11.33,12.16,10.02,9.81,9.44,10.21,10.53,11.69,11.33,13.08,12.06,11.97,11.55,11.05,-,-,Upgrade
PS Ratio,2.25,2.38,2.44,2.30,2.49,2.74,2.85,3.20,3.32,3.63,4.66,3.07,2.60,1.50,3.23,3.18,3.14,2.99,2.58,3.45,3.29,3.45,3.82,3.35,3.30,3.67,3.93,3.18,3.08,2.91,3.17,3.19,3.61,3.60,4.22,4.11,4.06,3.85,3.74,-,-,Upgrade
PB Ratio,1.71,1.81,1.83,1.74,1.93,2.34,2.53,2.77,2.74,2.40,2.55,1.73,1.59,1.14,2.24,2.20,2.19,2.08,1.78,2.38,2.26,2.35,2.57,2.15,2.10,2.34,2.51,2.01,1.94,1.86,2.03,2.00,2.26,2.25,2.67,2.63,2.54,2.49,2.47,2.31,2.24,Upgrade
Debt / Equity Ratio,1.27,1.27,1.38,1.41,1.45,1.28,1.51,1.40,1.47,1.73,1.95,3.17,2.41,2.70,2.17,2.09,2.19,2.33,2.45,2.45,2.41,2.41,2.42,2.39,2.35,2.38,2.25,2.36,2.17,2.19,2.19,2.11,2.15,2.06,2.03,1.86,1.77,1.84,1.91,1.77,1.75,Upgrade
Dividend Yield,2.48%,0.61%,0.61%,0.66%,0.63%,0.45%,0.43%,0.41%,0.37%,0.46%,0.49%,0.76%,0.88%,1.23%,0.52%,0.54%,0.52%,0.56%,0.68%,0.52%,0.50%,0.49%,0.46%,0.54%,0.48%,0.44%,0.42%,0.53%,0.52%,0.55%,0.52%,0.54%,0.49%,0.43%,0.37%,0.37%,0.39%,0.34%,0.36%,0.40%,0.42%,Upgrade
Payout Ratio,16.20%,16.80%,15.90%,16.90%,15.20%,11.80%,13.60%,14.10%,7.90%,8.70%,16.90%,18.00%,-36.70%,-176.00%,19.50%,18.60%,17.20%,18.60%,19.60%,19.50%,18.30%,19.20%,34.70%,22.00%,21.30%,21.00%,21.40%,19.20%,19.00%,20.70%,24.30%,20.30%,21.10%,18.80%,27.30%,17.50%,17.80%,15.30%,16.10%,16.70%,16.70%,Upgrade
Buyback Yield / Dilution,8.06%,8.06%,6.77%,8.78%,7.85%,7.10%,4.38%,2.27%,0.46%,0.53%,2.22%,3.71%,5.38%,6.11%,6.70%,7.13%,7.23%,7.43%,7.54%,7.97%,8.21%,7.98%,7.86%,7.75%,7.77%,6.92%,7.74%,7.28%,6.84%,7.39%,5.73%,5.76%,5.10%,5.02%,4.90%,4.52%,4.92%,5.35%,5.53%,6.04%,4.76%,Upgrade
Total Shareholder Return,10.55%,8.67%,7.39%,9.44%,8.48%,7.56%,4.81%,2.68%,0.83%,1.00%,2.71%,4.48%,6.26%,7.34%,7.21%,7.67%,7.75%,8.00%,8.22%,8.50%,8.71%,8.47%,8.32%,8.29%,8.25%,7.36%,8.16%,7.81%,7.37%,7.94%,6.25%,6.30%,5.58%,5.45%,5.27%,4.90%,5.31%,5.69%,5.89%,6.44%,5.18%,Upgrade
