Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Market Capitalization,181,294,395,395,397,457,511,488,474,396,303,224,269,274,424,396,388,377,332,405,526,430,432,361,-,-,-
Market Cap Growth,-,-35.67%,-22.67%,-18.99%,-16.32%,15.51%,68.60%,117.97%,75.93%,44.46%,-28.48%,-43.47%,-30.60%,-27.43%,27.87%,-2.31%,-26.22%,-12.14%,-23.32%,12.17%,-,-,-,-,-,-,-
Enterprise Value,389,502,746,674,536,468,177,472,233,338,377,353,385,181,355,361,335,514,616,496,546,403,360,248,-110,-105,-66
PE Ratio,3.00,4.85,6.15,6.33,6.49,7.74,8.99,9.32,10.42,10.24,9.21,6.90,8.43,7.70,10.82,10.41,10.13,10.03,9.19,12.87,17.67,14.87,16.94,13.89,-,-,-
PS Ratio,1.18,1.92,2.54,2.60,2.68,3.21,3.68,3.65,3.82,3.45,2.84,2.13,2.58,2.50,3.76,3.48,3.62,3.86,3.82,5.27,6.95,5.57,5.81,5.17,-,-,-
PB Ratio,0.37,0.59,0.82,0.84,0.86,0.98,1.10,1.07,1.07,0.91,0.71,0.53,0.65,0.67,1.04,0.99,0.99,0.98,0.89,1.37,1.84,1.56,1.63,1.39,-,-,-
Debt / Equity Ratio,0.89,0.89,0.90,0.96,1.00,0.78,0.77,0.79,0.82,0.83,0.63,0.73,0.65,0.66,0.28,0.37,0.39,1.01,1.16,0.89,0.33,0.19,0.29,0.20,0.27,0.34,0.29
Dividend Yield,6.31%,1.04%,0.68%,0.67%,0.68%,0.61%,0.49%,0.52%,0.54%,0.59%,0.59%,0.53%,0.44%,0.87%,0.47%,0.51%,0.52%,0.53%,-,0.73%,0.28%,0.30%,0.26%,-,-,-,-
Payout Ratio,18.10%,27.60%,15.10%,15.90%,17.30%,18.70%,16.00%,16.50%,18.80%,18.80%,16.10%,14.00%,18.20%,35.30%,18.50%,25.00%,19.60%,19.20%,0.00%,36.00%,15.50%,14.50%,28.60%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,2.02%,3.79%,1.67%,1.72%,1.94%,0.72%,1.72%,1.95%,0.85%,2.22%,1.27%,1.84%,1.67%,0.57%,-16.71%,-21.55%,-22.53%,-23.24%,-21.83%,-4.80%,-6.48%,-5.87%,-9.98%,-,-,-,-0.31%
Total Shareholder Return,8.33%,4.82%,2.34%,2.40%,2.62%,1.32%,2.21%,2.47%,1.38%,2.81%,1.85%,2.37%,2.11%,1.44%,-16.24%,-21.04%,-22.01%,-22.71%,-21.83%,-4.06%,-6.20%,-5.57%,-9.72%,-,-,-,-0.31%
