Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
Market Capitalization,334,321,353,303,269,272,247,224,186,178,147,115,130,116,197,187,189,171,162,186,196,182,145,118,108,-,-,-,-,-
Market Cap Growth,-,17.93%,42.62%,35.21%,44.93%,52.57%,68.10%,95.25%,43.17%,53.79%,-25.21%,-38.54%,-31.58%,-32.43%,21.69%,0.64%,-3.59%,-5.63%,11.72%,57.96%,81.64%,-,-,-,-,-,-,-,-,-
Enterprise Value,130,117,188,121,114,123,98,86,40,90,82,4,15,46,135,125,149,122,131,146,169,139,102,86,69,-,-43,-,-,-33
PE Ratio,9.50,9.07,12.36,11.61,12.84,14.24,13.79,14.89,11.48,12.55,11.65,9.12,10.11,8.42,13.90,14.23,17.21,17.56,18.50,28.50,32.85,37.95,39.69,32.02,33.05,-,-,-,-,-
PS Ratio,3.58,3.44,4.36,4.14,4.17,4.48,4.28,4.12,3.42,3.62,3.21,2.60,2.96,2.58,4.46,4.46,4.88,4.78,4.72,5.80,6.62,6.71,5.91,5.24,5.15,-,-,-,-,-
PB Ratio,1.95,1.88,2.23,2.04,1.85,1.90,1.72,1.64,1.38,1.38,1.17,0.94,1.10,1.01,1.77,1.75,1.85,1.76,1.74,2.10,2.27,2.15,1.73,1.41,1.41,-,-,-,-,-
Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.01,-,-,0.01
Dividend Yield,1.02%,0.26%,0.23%,0.24%,0.27%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,8.20%,6.30%,8.40%,8.90%,10.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-1.37%,-1.37%,-3.85%,-3.20%,-3.15%,-3.54%,-2.41%,-2.19%,-2.09%,-1.47%,-1.61%,-1.61%,-1.81%,-2.18%,-1.29%,-1.29%,-1.17%,-1.17%,-1.63%,-1.82%,-3.25%,-3.25%,-1.59%,-,-,-,-,-,-,-
Total Shareholder Return,-0.36%,-1.12%,-3.61%,-2.96%,-2.88%,-3.54%,-2.41%,-2.19%,-2.09%,-1.47%,-1.61%,-1.61%,-1.81%,-2.18%,-1.29%,-1.29%,-1.17%,-1.17%,-1.63%,-1.82%,-3.25%,-3.25%,-1.59%,-,-,-,-,-,-,-
