Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+39 Quarters
Market Capitalization,81,111,126,128,146,159,145,147,149,135,121,77,76,72,138,125,119,131,119,83,84,83,79,74,74,73,65,59,54,47,49,46,48,47,47,46,44,41,38,37,36,Upgrade
Market Cap Growth,-,-30.14%,-12.79%,-12.75%,-2.22%,17.69%,19.05%,91.19%,94.73%,88.08%,-11.79%,-38.42%,-35.79%,-45.15%,15.35%,50.69%,42.30%,58.52%,50.31%,12.49%,13.68%,13.39%,21.46%,25.36%,35.51%,55.90%,32.15%,26.94%,13.36%,-1.00%,4.38%,1.15%,9.16%,14.32%,24.15%,22.36%,21.69%,16.56%,23.70%,23.34%,24.44%,Upgrade
Enterprise Value,266,296,305,273,302,246,265,213,189,111,180,140,201,194,252,225,247,231,201,129,135,157,149,144,118,124,129,118,102,83,90,78,73,61,80,93,99,79,79,68,59,Upgrade
PE Ratio,4.88,6.65,7.10,6.70,7.24,7.78,6.80,7.82,8.63,8.66,9.55,6.23,7.59,6.47,14.55,27.05,26.61,150.20,94.68,19.33,30.71,25.02,27.40,29.46,23.50,24.94,24.53,22.82,16.57,15.51,16.84,16.49,18.99,19.14,21.60,25.65,29.88,38.35,35.03,35.70,37.44,Upgrade
PS Ratio,1.26,1.73,1.93,1.90,2.14,2.33,2.08,2.21,2.30,2.13,1.99,1.29,1.31,1.24,2.51,4.91,5.88,9.47,10.28,2.28,2.45,2.60,2.71,2.76,2.80,2.78,2.59,2.46,2.41,2.16,2.29,2.12,2.19,2.15,2.19,2.15,2.13,2.08,1.95,1.95,1.95,Upgrade
PB Ratio,0.49,0.68,0.76,0.79,0.88,0.96,0.85,0.89,0.91,0.84,0.76,0.49,0.50,0.49,0.92,0.84,0.83,0.95,0.86,0.61,0.62,1.13,1.07,1.00,1.12,1.13,1.02,0.91,0.85,0.75,0.81,0.75,0.81,0.80,0.81,0.80,0.78,0.75,0.71,0.69,0.67,Upgrade
Debt / Equity Ratio,1.52,1.52,1.29,1.07,1.15,1.04,0.99,1.02,1.04,1.08,1.13,1.16,1.10,1.13,1.16,1.07,1.26,1.07,0.97,0.64,0.64,1.56,1.66,1.64,1.20,1.11,1.32,1.09,1.10,0.99,0.96,0.96,0.77,0.86,0.92,1.03,1.15,1.04,1.04,0.92,0.98,Upgrade
Dividend Yield,3.74%,2.73%,-,-,-,1.72%,-,-,-,1.85%,-,-,-,3.26%,-,-,-,1.68%,-,-,-,1.43%,-,-,-,1.16%,-,-,-,1.34%,-,-,-,0.88%,-,-,-,0.50%,-,-,0.29%,Upgrade
Payout Ratio,18.20%,82.90%,0.00%,0.00%,0.00%,57.80%,0.00%,0.00%,0.00%,46.00%,0.00%,0.00%,0.00%,91.30%,0.00%,0.00%,0.00%,222.20%,0.00%,0.00%,0.00%,87.00%,0.00%,0.00%,0.00%,88.90%,0.00%,0.00%,0.00%,92.30%,0.00%,0.00%,0.00%,72.70%,0.00%,0.00%,0.00%,66.70%,0.00%,0.00%,66.70%,Upgrade
Buyback Yield / Dilution,0.51%,0.51%,0.18%,1.42%,3.28%,3.34%,5.85%,4.20%,2.35%,2.25%,1.02%,1.07%,-1.47%,-1.46%,-2.89%,-90.57%,-85.75%,-86.21%,-86.17%,-12.08%,-12.32%,-12.07%,-11.83%,-0.47%,-0.42%,-0.75%,-0.57%,-0.37%,-0.23%,-0.66%,-0.91%,-1.27%,-1.27%,-0.50%,-0.60%,-0.24%,-0.24%,-0.24%,-0.16%,-0.38%,-0.44%,Upgrade
Total Shareholder Return,4.25%,3.24%,0.18%,1.42%,3.28%,5.06%,5.85%,4.20%,2.35%,4.10%,1.02%,1.07%,-1.47%,1.80%,-2.89%,-90.57%,-85.75%,-84.53%,-86.17%,-12.08%,-12.32%,-10.64%,-11.83%,-0.47%,-0.42%,0.41%,-0.57%,-0.37%,-0.23%,0.69%,-0.91%,-1.27%,-1.27%,0.38%,-0.60%,-0.24%,-0.24%,0.26%,-0.16%,-0.38%,-0.15%,Upgrade
