Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,177,252,237,197,202,176,172,-,-,-,-,-,-,-
Market Cap Growth,-,42.91%,37.82%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,126,201,84,78,66,-69,33,-144,-126,-42,-,-,-,-103
PE Ratio,6.72,9.31,11.53,10.49,11.57,9.50,9.64,-,-,-,-,-,-,-
PS Ratio,2.38,3.39,3.59,3.16,3.37,2.90,2.97,-,-,-,-,-,-,-
PB Ratio,0.97,1.39,1.39,1.17,1.19,1.00,0.99,-,-,-,-,-,-,-
Debt / Equity Ratio,0.65,0.65,0.55,0.43,0.43,0.22,0.23,0.30,0.31,0.31,-,-,-,0.10
Dividend Yield,1.77%,0.31%,0.33%,0.40%,0.39%,0.46%,-,-,-,-,-,-,-,-
Payout Ratio,11.70%,7.40%,11.70%,15.00%,17.60%,21.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,3.39%,3.39%,3.55%,-0.42%,-0.42%,-3.44%,-,-,-,-,-,-,-,-
Total Shareholder Return,5.17%,3.71%,3.88%,-0.02%,-0.03%,-2.98%,-,-,-,-,-,-,-,-
