Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,"1,370","1,336","1,383","1,665","1,669","2,335","2,793","1,999",-,-,-,-,-,-,-
Market Cap Growth,-,-42.77%,-50.46%,-16.71%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,810","1,783","1,496","1,771","1,719","2,337","2,747","1,937",81,6,11,-,-,-,-37
PE Ratio,19.32,23.86,7.51,5.87,5.37,7.45,11.05,7.82,-,-,-,-,-,-,-
PS Ratio,3.37,3.31,2.32,2.20,2.05,3.06,4.20,3.57,-,-,-,-,-,-,-
PB Ratio,16.07,15.74,17.49,19.66,18.87,28.68,38.90,31.15,-,-,-,-,-,-,-
Debt / Equity Ratio,6.29,6.29,3.87,3.62,1.82,1.96,2.23,2.49,1.04,0.80,0.88,-,-,-,0.21
Current Ratio,-,-,-,-,-,-,2.81,3.53,1.20,2.51,2.57,-,-,-,1.37
Dividend Yield,11.63%,-,0.48%,0.44%,0.37%,0.21%,0.20%,-,-,-,-,-,-,-,-
Payout Ratio,138.30%,0.00%,-675.00%,176.50%,59.10%,60.00%,46.20%,0.00%,-,-,-,-,-,-,-
Buyback Yield / Dilution,-8.34%,-435.40%,-5.03%,-8.40%,78.10%,78.91%,78.84%,-,-,-,-,-,-,-,-
Total Shareholder Return,3.42%,-435.40%,-4.55%,-7.97%,78.47%,79.12%,79.04%,-,-,-,-,-,-,-,-
