Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,179,263,217,214,225,227,198,-,-,-,-,-,-,-
Market Cap Growth,-,15.98%,9.51%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,244,328,59,-35,-109,-57,-170,-301,-231,-99,-,-,-,-17
PE Ratio,7.32,10.79,10.44,11.56,10.44,10.65,10.32,-,-,-,-,-,-,-
PS Ratio,2.22,3.26,2.91,3.05,3.13,3.23,3.01,-,-,-,-,-,-,-
PB Ratio,1.29,1.90,1.59,1.47,1.37,1.24,1.10,-,-,-,-,-,-,-
Debt / Equity Ratio,1.09,1.09,0.16,0.15,0.14,0.12,0.12,0.16,0.17,0.16,-,-,-,0.07
Dividend Yield,2.71%,0.49%,0.52%,0.53%,0.50%,0.50%,0.53%,-,-,-,-,-,-,-
Payout Ratio,19.20%,14.30%,14.30%,52.60%,21.10%,21.10%,18.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-13.14%,0.32%,-7.11%,-25.17%,-25.69%,-25.38%,-16.47%,0.57%,0.60%,-0.39%,-,-,-,-
Total Shareholder Return,-10.43%,0.81%,-6.59%,-24.64%,-25.19%,-24.88%,-15.94%,0.57%,0.60%,-0.39%,-,-,-,-
