Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2015-12-31,2014-12-31
Market Capitalization,151,193,237,239,288,285,336,330,326,272,102,77,86,69,91,-,-,-,-,-,-,-
Market Cap Growth,-,-32.13%,-29.59%,-27.66%,-11.88%,4.56%,229.97%,326.26%,279.02%,292.77%,11.84%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,211,251,517,327,359,122,237,339,304,749,410,484,347,153,165,117,-,-,67,-,40,21
PE Ratio,12.32,16.43,8.48,6.95,7.47,4.31,6.40,7.30,7.50,12.91,5.76,6.13,9.74,16.74,19.88,-,-,-,-,-,-,-
PS Ratio,1.21,1.53,1.68,1.62,1.93,1.51,1.87,2.00,2.09,2.41,1.13,1.09,1.54,1.64,2.37,-,-,-,-,-,-,-
PB Ratio,0.59,0.75,0.91,0.95,1.10,1.02,1.21,1.23,1.22,1.14,0.94,0.78,0.91,0.77,0.99,-,-,-,-,-,-,-
Debt / Equity Ratio,1.11,1.11,1.39,0.79,0.70,0.26,0.27,0.77,1.04,3.16,3.95,4.86,5.30,1.67,1.46,2.13,-,-,2.10,-,1.98,1.21
Dividend Yield,6.15%,2.40%,0.98%,0.96%,0.80%,0.79%,0.67%,0.68%,0.57%,0.65%,0.80%,1.05%,0.94%,-,-,-,-,-,-,-,-,-
Payout Ratio,97.30%,272.20%,37.00%,81.30%,203.30%,12.90%,17.60%,32.40%,6.50%,33.90%,14.60%,16.10%,13.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,-,-
Buyback Yield / Dilution,-0.94%,-0.94%,-0.91%,-0.11%,-0.78%,-0.82%,-118.87%,-118.91%,-119.37%,-185.54%,-31.56%,-31.56%,-30.20%,-,-,-,-217.14%,-363.28%,-,-,-,-
Total Shareholder Return,5.37%,1.46%,0.06%,0.85%,0.02%,-0.03%,-118.20%,-118.22%,-118.80%,-184.89%,-30.76%,-30.51%,-29.26%,-,-,-,-217.14%,-363.28%,-,-,-,-
