Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Market Capitalization,"2,737","3,181","1,997","2,687","2,379","3,532","3,118","6,378","3,944","1,770","1,766","1,572","1,151","1,405","1,280","1,690","2,208","2,230"
Market Cap Growth,-,-9.95%,-35.94%,-57.88%,-39.69%,99.63%,76.60%,305.69%,242.81%,25.93%,37.93%,-6.97%,-47.88%,-36.99%,-,-,-,-
Enterprise Value,"-1,318",-944,"-1,283",-983,-658,93,602,"3,950","1,611",-930,-467,-655,-868,-707,-87,765,"1,570","1,649"
PE Ratio,4.84,5.51,3.21,3.57,2.71,3.91,3.55,7.78,5.56,3.31,4.42,5.02,4.10,3.93,3.41,-19.85,-10.97,-8.09
PS Ratio,1.18,1.34,0.84,1.03,0.88,1.36,1.29,2.83,1.85,0.85,0.95,0.97,0.78,1.07,1.08,1.64,2.53,3.47
PB Ratio,1.04,1.18,0.80,1.06,0.94,1.49,1.43,3.32,2.38,1.22,1.46,1.59,1.33,1.36,1.35,1.97,2.85,3.47
Debt / Equity Ratio,0.01,0.01,0.04,0.04,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.07,0.03,0.23,0.24,-,-
Current Ratio,2.04,2.04,1.86,1.83,2.01,1.96,1.90,1.84,1.76,1.63,1.73,1.67,1.54,2.02,1.90,1.78,2.12,2.54
Dividend Yield,4.25%,1.59%,2.82%,5.57%,-,2.45%,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,22.20%,20.30%,20.40%,51.20%,0.00%,20.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-1.73%,-2.10%,-1.42%,-1.54%,-1.87%,-1.91%,-2.64%,-3.77%,-3.85%,-3.90%,-4.21%,-2.81%,-2.06%,-35.18%,-45.23%,-45.02%,-45.02%,-8.88%
Total Shareholder Return,2.41%,-0.52%,1.40%,4.03%,-1.87%,0.54%,-2.64%,-3.77%,-3.85%,-3.90%,-4.21%,-2.81%,-2.06%,-35.18%,-45.23%,-45.02%,-45.02%,-8.88%
