Metrics,Current,2023-03-31,2022-12-31,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30
Market Capitalization,118,94,89,57,56,59,58,57,56,63,62,61,60,60,59,60
Market Cap Growth,-,59.48%,53.56%,-0.41%,-0.68%,-6.59%,-6.36%,-6.29%,-6.50%,4.36%,4.85%,2.10%,-,-,-,-
Enterprise Value,75,51,42,6,56,-14,61,59,58,121,63,61,59,59,58,59
PE Ratio,-,-,-2.00,0.63,0.62,0.61,-2.60,-2.58,-3.42,-3.90,189.31,246.80,525.91,305.60,-223.68,-
PS Ratio,-,-,2.87,4.99,2.84,5.13,2.87,2.83,4.02,4.48,-,-,-,-,-,-
PB Ratio,41.43,32.91,21.49,1.78,-,0.96,-25.05,11.46,11.29,-11.74,12.40,12.23,12.07,-44.52,11.83,11.97
Debt / Equity Ratio,2.19,2.19,1.08,-,-,-,-1.36,0.51,0.39,-23.42,0.18,0.09,-,-,-,-
Current Ratio,0.57,0.57,0.57,0.84,-,1.37,0.09,0.15,0.21,1.25,0.31,1.83,1.45,1.72,1.92,2.31
Buyback Yield / Dilution,-9.32%,-9.32%,-950.65%,-129.45%,-2505.92%,-828.87%,10.66%,-10.10%,-7.48%,-50.68%,-212.12%,-37.33%,-307.62%,-396438.00%,-,-
Total Shareholder Return,-9.32%,-9.32%,-950.65%,-129.45%,-2505.92%,-828.87%,10.66%,-10.10%,-7.48%,-50.68%,-212.12%,-37.33%,-307.62%,-396438.00%,-,-
