Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"14,699","18,348","18,443","17,830","20,104","24,210","24,838","22,467","24,065","21,896","19,384","16,225","16,507","15,790","22,510","20,054","19,591","19,747","18,506","22,804","23,149","23,341","22,717","21,005","22,318","19,809","20,164","15,406","15,118","14,923","16,669","15,869","17,843","16,262","15,873","16,027","15,184","15,558","14,791","13,059","13,852",Upgrade
Market Cap Growth,-,-24.21%,-25.75%,-20.64%,-16.46%,10.57%,28.14%,38.47%,45.79%,38.67%,-13.89%,-19.09%,-15.74%,-20.04%,21.63%,-12.06%,-15.37%,-15.40%,-18.54%,8.57%,3.72%,17.83%,12.66%,36.34%,47.62%,32.74%,20.97%,-2.92%,-15.27%,-8.24%,5.01%,-0.99%,17.51%,4.53%,7.32%,22.73%,9.62%,19.24%,22.97%,16.98%,24.82%,Upgrade
Enterprise Value,"-10,136","-6,299","-13,368","-12,025","-16,382","-30,745","-36,983","-24,538","-28,667","-24,784","-35,980","-18,670","-21,155","-26,559","-8,931",319,"-5,915","-1,295","-7,519","-5,673","-5,726","-7,279","-16,821","-13,518","-11,258","-10,006","-9,725","-11,760","-11,983",577,"-13,833","4,270",861,"2,713","3,724","3,548","-14,271","-11,587",-875,"-9,409","-7,248",Upgrade
PE Ratio,11.85,14.80,14.25,11.54,13.01,15.95,16.52,16.79,19.46,18.53,16.81,12.65,12.04,10.92,15.57,13.51,13.29,13.38,12.26,15.65,16.77,18.55,19.77,19.83,21.67,19.33,19.98,15.69,15.77,15.46,17.54,16.68,19.24,19.23,19.78,21.73,20.53,20.78,20.23,17.91,19.74,Upgrade
PS Ratio,2.15,2.71,2.73,2.58,2.95,3.64,3.79,3.52,3.86,3.61,3.24,2.70,2.72,2.57,3.70,3.32,3.27,3.30,3.10,3.86,4.01,4.17,4.20,4.02,4.38,3.90,4.04,3.14,3.12,3.11,3.51,3.38,3.87,3.67,3.67,3.78,3.61,3.76,3.64,3.27,3.54,Upgrade
PB Ratio,1.25,1.58,1.64,1.62,1.82,2.12,2.07,1.89,2.04,1.91,1.66,1.40,1.45,1.45,2.03,1.86,1.81,1.86,1.76,2.20,2.24,2.28,2.22,2.07,2.22,1.99,2.06,1.61,1.69,1.69,1.92,1.81,2.04,1.89,1.88,1.88,1.89,1.96,1.87,1.67,1.79,Upgrade
Debt / Equity Ratio,1.82,1.82,1.32,1.44,0.82,0.64,0.65,0.85,0.86,0.87,0.76,1.16,1.18,1.33,1.06,1.14,1.13,1.12,1.34,1.32,1.45,1.11,1.21,1.20,0.81,0.80,0.91,0.82,1.13,0.90,0.93,0.92,0.78,0.82,0.82,0.79,0.68,0.81,0.94,0.84,1.12,Upgrade
Dividend Yield,4.18%,0.85%,0.84%,0.88%,0.73%,0.60%,0.58%,0.65%,0.61%,0.67%,0.74%,0.90%,0.88%,0.93%,0.65%,0.75%,0.67%,0.67%,0.64%,0.54%,0.41%,0.41%,0.42%,0.46%,0.39%,0.44%,0.43%,0.56%,0.54%,0.55%,0.50%,0.53%,0.47%,0.47%,0.49%,0.49%,0.51%,0.47%,0.50%,0.57%,0.54%,Upgrade
Payout Ratio,50.10%,49.70%,104.20%,41.70%,37.60%,39.30%,36.50%,38.70%,40.50%,40.90%,61.90%,53.00%,47.60%,44.90%,40.90%,41.20%,34.10%,40.30%,30.40%,34.60%,24.90%,26.40%,27.60%,34.70%,33.90%,34.50%,33.90%,34.90%,32.40%,35.00%,36.00%,37.10%,32.40%,34.70%,33.70%,38.80%,43.40%,41.30%,44.30%,36.50%,39.70%,Upgrade
Buyback Yield / Dilution,0.04%,0.04%,-0.67%,0.02%,0.12%,0.07%,0.44%,-0.11%,-0.27%,0.41%,0.63%,2.58%,3.96%,4.31%,3.98%,4.31%,3.74%,3.43%,4.70%,1.82%,1.56%,0.88%,0.38%,-0.65%,-0.73%,-0.19%,1.19%,2.45%,2.41%,2.04%,1.73%,1.47%,1.21%,1.61%,1.60%,1.76%,1.55%,0.82%,0.51%,0.13%,0.48%,Upgrade
Total Shareholder Return,4.27%,0.89%,0.18%,0.90%,0.85%,0.67%,1.02%,0.54%,0.34%,1.08%,1.37%,3.48%,4.85%,5.24%,4.62%,5.06%,4.41%,4.09%,5.35%,2.36%,1.97%,1.29%,0.80%,-0.19%,-0.34%,0.25%,1.61%,3.01%,2.95%,2.59%,2.22%,2.00%,1.68%,2.09%,2.08%,2.25%,2.07%,1.29%,1.01%,0.70%,1.02%,Upgrade
