Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,348,365,468,479,425,470,495,438,417,410,342,224,257,280,376,293,297,-,-,-,-,-,-
Market Cap Growth,-,-22.39%,-5.40%,9.35%,1.95%,14.72%,44.56%,95.31%,62.22%,46.58%,-8.94%,-23.54%,-13.31%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,143,159,355,271,172,64,130,232,159,161,265,138,253,329,423,226,65,-153,-53,-,-,-,-117
PE Ratio,6.85,6.86,8.04,7.95,7.09,8.15,8.44,7.31,6.79,7.67,7.55,5.67,8.28,8.87,12.86,11.74,13.72,-,-,-,-,-,-
PS Ratio,1.70,1.78,2.15,2.15,1.91,2.13,2.24,1.96,1.87,1.94,1.73,1.20,1.52,1.69,2.37,1.93,2.03,-,-,-,-,-,-
PB Ratio,0.95,0.99,1.31,1.40,1.17,1.22,1.21,1.10,1.06,1.09,0.93,0.64,0.76,0.86,1.23,0.98,1.02,-,-,-,-,-,-
Debt / Equity Ratio,0.33,0.33,0.34,0.36,0.34,0.32,0.30,0.31,0.32,0.44,0.60,0.58,0.75,0.57,0.67,0.59,0.61,1.16,1.25,-,-,-,1.12
Dividend Yield,2.45%,0.61%,0.44%,0.44%,0.46%,0.41%,0.32%,0.37%,0.30%,0.22%,0.26%,0.24%,0.21%,0.19%,0.14%,0.18%,-,-,-,-,-,-,-
Payout Ratio,15.60%,24.10%,16.20%,13.50%,12.10%,13.60%,11.00%,10.60%,9.20%,6.00%,5.70%,3.20%,9.70%,7.70%,5.20%,6.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,3.65%,3.65%,4.44%,3.27%,2.32%,1.94%,1.49%,0.58%,0.13%,0.06%,-0.29%,-0.42%,-0.45%,-3.35%,-3.07%,-,-,-,-,-,-,-,-
Total Shareholder Return,6.10%,4.26%,4.87%,3.70%,2.77%,2.36%,1.82%,0.95%,0.43%,0.28%,-0.03%,-0.18%,-0.24%,-3.15%,-2.92%,0.18%,-,-,-,-,-,-,-
