Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Market Capitalization,"2,920","3,153","3,448","3,576","4,085","6,622","5,253","4,575","5,244","5,974","4,870","4,445","4,548","4,001","3,050","3,118","4,147","4,511","4,875","3,894","4,996","6,210","3,426","3,005","2,460","2,369","2,213","2,077","2,498","3,069","3,134","3,173","3,251",-,-,-,-,-,-
Market Cap Growth,-,-52.39%,-34.36%,-21.84%,-22.10%,10.84%,7.86%,2.92%,15.30%,49.32%,59.68%,42.54%,9.68%,-11.30%,-37.44%,-19.92%,-17.00%,-27.36%,42.29%,29.61%,103.11%,162.14%,54.78%,44.63%,-1.53%,-22.80%,-29.38%,-34.53%,-23.16%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"11,412","11,631","10,334","10,528","11,464","15,137","11,244","10,503","11,189","11,715","10,215","9,833","10,169","10,115","9,072","8,752","9,906","9,659","8,948","7,896","8,870","10,763","7,839","7,633","4,271","4,889","4,193","4,276","5,788","5,547","5,013","5,484","6,282","2,690","1,957",-,-,-,"2,833"
PE Ratio,8.98,14.97,13.01,10.47,10.98,18.93,11.02,9.43,9.87,8.95,7.50,8.56,11.42,23.66,-52.05,77.97,78.36,41.76,16.84,17.74,25.31,35.88,1165.69,-3713.91,124.64,87.06,67.12,61.35,63.82,98.25,150.07,19.94,17.27,-,-,-,-,-,-
PS Ratio,1.28,1.38,1.46,1.39,1.60,2.65,1.87,1.64,1.81,1.84,1.50,1.50,1.69,1.85,2.01,2.00,2.81,3.16,2.60,2.05,2.66,3.66,3.33,4.09,3.92,3.61,3.15,2.93,3.29,4.00,3.94,3.81,4.11,-,-,-,-,-,-
PB Ratio,2.25,2.42,2.57,2.65,2.92,4.80,3.39,3.08,3.32,3.65,3.32,3.18,3.51,3.60,3.28,3.22,4.17,4.34,4.63,3.90,4.85,6.21,4.13,3.56,17.34,16.31,15.20,14.78,18.09,22.59,23.98,23.97,27.99,-,-,-,-,-,-
Debt / Equity Ratio,7.11,7.11,5.91,5.82,5.89,6.62,4.59,4.50,4.35,4.13,4.33,4.33,4.92,6.22,7.30,6.22,6.29,5.71,4.57,4.43,4.40,5.19,5.96,6.15,21.82,18.49,14.84,16.67,24.91,19.34,15.62,18.67,27.19,13.42,9.58,-,-,-,14.26
Dividend Yield,5.40%,0.74%,0.69%,0.69%,0.62%,0.40%,0.51%,0.61%,0.55%,0.50%,0.61%,0.67%,0.65%,0.72%,0.93%,0.90%,0.65%,0.57%,0.53%,0.66%,0.49%,0.36%,0.44%,0.63%,0.40%,0.41%,0.43%,0.44%,0.37%,0.30%,0.29%,0.26%,-,-,-,-,-,-,-
Payout Ratio,48.00%,42.90%,85.70%,63.20%,30.80%,24.20%,26.40%,40.70%,47.10%,12.60%,27.30%,26.10%,15.10%,13.30%,-160.00%,-600.00%,-88.90%,-342.90%,32.00%,300.00%,96.00%,12.70%,120.00%,-141.20%,2400.00%,240.00%,141.20%,133.30%,114.30%,88.90%,104.30%,66.70%,0.00%,-,-,-,-,-,-
Buyback Yield / Dilution,11.13%,11.13%,11.46%,12.07%,12.96%,10.80%,8.85%,5.78%,0.87%,-3.01%,-4.79%,-5.29%,-8.34%,-11.62%,-10.20%,-9.73%,-11.03%,-16.14%,-70.90%,-35.26%,-148.98%,-128.74%,-58.98%,-106.51%,-6.76%,-4.96%,-5.16%,-10.40%,-10.72%,72.01%,72.94%,-,-,-,-,-,-,-,-
Total Shareholder Return,16.50%,11.88%,12.15%,12.75%,13.58%,11.20%,9.37%,6.39%,1.42%,-2.51%,-4.18%,-4.63%,-7.70%,-10.90%,-9.28%,-8.82%,-10.38%,-15.57%,-70.38%,-34.60%,-148.49%,-128.38%,-58.54%,-105.88%,-6.36%,-4.55%,-4.73%,-9.96%,-10.35%,72.31%,73.22%,0.26%,-,-,-,-,-,-,-
