Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2019-12-31
Market Capitalization,183,32,23,27,33,35,91,-,-,-,-,-,-
Market Cap Growth,-,-9.03%,-74.11%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,161,11,-2,6,6,-5,59,4,4,-,3,-,1
PE Ratio,-34.37,-34.37,-30.16,-15.77,-111.13,-1709.88,385.47,-,-,-,-,-,-
PS Ratio,2.92,0.51,0.40,0.51,0.66,0.79,2.28,-,-,-,-,-,-
PB Ratio,4.72,0.82,0.60,0.70,0.83,0.82,2.18,-,-,-,-,-,-
Debt / Equity Ratio,0.02,0.02,0.02,0.03,0.03,0.03,0.03,2.63,3.73,-,2.51,-,6.30
Current Ratio,4.94,4.94,3.48,6.17,4.48,3.09,6.07,1.01,0.96,-,1.16,-,0.98
Buyback Yield / Dilution,7.89%,7.89%,8.66%,-213.81%,-216.84%,-100.61%,-9.28%,-,-,-,-,-,-
Total Shareholder Return,7.89%,7.89%,8.66%,-213.81%,-216.84%,-100.61%,-9.28%,-,-,-,-,-,-
