Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Market Capitalization,7,7,7,6,14,23,33,52,69,47,26,21,13,19,10,72,113,99,120,145,153
Market Cap Growth,-,-69.63%,-78.99%,-88.30%,-79.39%,-51.11%,23.04%,143.81%,446.48%,141.97%,152.63%,-70.61%,-88.86%,-80.40%,-91.28%,-50.18%,-26.02%,-,-,-,-
Enterprise Value,6,6,5,5,14,27,38,56,65,52,31,29,18,19,9,67,110,90,110,135,142
PE Ratio,1.36,2.03,1.51,1.00,-26.49,-2.60,-2.71,-3.54,-6.66,-4.21,-1.98,-2.11,-1.45,-2.81,-4.52,-17.20,-24.91,-8.77,-11.15,-13.93,-15.54
PS Ratio,2.35,2.32,2.35,3.40,2.89,19.61,28.45,36.42,31.52,7.56,3.63,1.80,0.81,1.20,0.78,9.46,44.43,207.73,236.16,261.54,309.58
PB Ratio,1.24,1.22,1.09,0.78,1.76,11.90,13.53,27.56,11.78,15.03,5.40,25.49,4.50,3.03,0.91,8.27,13.53,9.57,10.87,12.18,11.90
Debt / Equity Ratio,0.20,0.20,0.13,0.14,0.14,3.83,3.39,4.58,0.23,2.93,1.87,10.14,2.51,0.14,0.09,0.09,0.10,0.04,-,-,-
Current Ratio,0.83,0.83,1.01,1.12,0.91,0.45,0.40,0.47,0.65,0.62,0.74,0.47,0.59,1.39,3.17,1.70,3.04,3.31,7.31,7.12,7.50
Buyback Yield / Dilution,-29.83%,-29.83%,-27.25%,-19.57%,-31.27%,-35.15%,-46.51%,-81.78%,-62.69%,-52.03%,-33.87%,-11.05%,-11.59%,-11.38%,-9.11%,-0.94%,-13.25%,-15.02%,-16.38%,-27.80%,-12.90%
Total Shareholder Return,-29.83%,-29.83%,-27.25%,-19.57%,-31.27%,-35.15%,-46.51%,-81.78%,-62.69%,-52.03%,-33.87%,-11.05%,-11.59%,-11.38%,-9.11%,-0.94%,-13.25%,-15.02%,-16.38%,-27.80%,-12.90%
