Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
Market Capitalization,231,288,309,306,289,359,290,260,228,283,227,151,180,216,407,493,517,527,368,600,708,716,673,-,-,-,-,-
Market Cap Growth,-,-19.76%,6.65%,17.65%,26.43%,26.69%,27.86%,72.36%,27.06%,31.11%,-44.21%,-69.35%,-65.22%,-59.04%,10.37%,-17.77%,-27.02%,-26.34%,-45.22%,-,-,-,-,-,-,-,-,-
Enterprise Value,-49,-2,60,85,135,104,112,43,-142,-192,-375,-371,-38,238,642,661,762,888,673,951,"1,086","1,086","1,035",-,-,-,335,311
PE Ratio,-14.42,-14.42,-21.80,24.92,13.96,13.62,12.40,71.53,-37.89,-42.80,-17.50,-10.06,-174.15,22.64,13.90,8.36,8.49,8.31,5.81,11.10,14.06,16.52,17.71,-,-,-,-,-
PS Ratio,3.00,3.58,3.43,2.99,2.80,3.33,2.76,3.62,3.15,3.97,4.11,1.70,1.85,2.04,3.07,3.62,3.74,3.75,2.65,4.53,5.51,6.07,6.05,-,-,-,-,-
PB Ratio,0.76,0.91,0.99,0.93,0.86,1.05,0.84,0.77,0.70,0.88,0.71,0.46,0.54,0.66,1.22,1.40,1.51,1.56,1.10,1.88,2.33,2.48,2.46,-,-,-,-,-
Debt / Equity Ratio,0.41,0.41,0.42,0.40,0.40,0.68,0.68,1.17,1.24,1.25,1.26,1.22,1.25,1.26,0.94,0.90,0.95,1.24,1.07,1.25,1.36,1.41,1.47,-,-,-,2.20,2.40
Dividend Yield,-,-,-,-,-,-,-,-,-,-,-,-,0.23%,0.12%,0.10%,0.10%,0.10%,0.14%,0.09%,0.07%,0.07%,-,-,-,-,-,-,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,-12.50%,-3.70%,3.60%,3.80%,3.30%,3.30%,3.30%,3.30%,3.30%,0.00%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,-0.08%,-0.08%,1.00%,-0.62%,-0.65%,-0.99%,-0.95%,-0.84%,-0.44%,-0.15%,0.33%,1.18%,3.26%,5.18%,5.58%,4.77%,2.73%,0.76%,-7.95%,-17.00%,-17.00%,-16.99%,-8.38%,1.90%,-,-,-,-
Total Shareholder Return,-0.08%,-0.08%,1.00%,-0.62%,-0.65%,-0.99%,-0.95%,-0.84%,-0.44%,-0.15%,0.33%,1.18%,3.26%,5.42%,5.71%,4.87%,2.83%,0.86%,-7.81%,-16.91%,-16.92%,-16.92%,-8.38%,1.90%,-,-,-,-
