Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Market Capitalization,54,71,144,162,223,525,648,718,708,606,586,288,333,216,505,601,513,466,436,"1,384","1,137",784,627,-,-,-,-,-,-
Market Cap Growth,-,-86.55%,-77.81%,-77.39%,-68.47%,-13.34%,10.54%,149.09%,112.38%,180.68%,15.95%,-52.05%,-35.06%,-53.63%,15.77%,-56.55%,-54.85%,-40.59%,-30.43%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"2,563","2,575","2,648","2,488","2,345","2,566","2,554","1,687","1,495","1,509","1,260",937,920,946,"1,311","1,432","1,305","1,260","1,156","2,077","1,638","1,260","1,162",457,-,-,265,-,324
PE Ratio,-0.29,-0.29,-0.77,-5.80,-2.33,15.03,10.92,7.75,4.80,9.30,7.74,2.84,2.87,1.95,4.53,8.98,-68.99,-56.11,-19.79,-1028.73,20.51,14.04,12.77,-,-,-,-,-,-
PS Ratio,0.10,0.12,0.23,0.26,0.35,0.87,1.13,1.25,1.26,1.10,1.05,0.48,0.52,0.33,0.75,0.91,0.82,0.75,0.70,2.28,1.83,1.26,1.03,-,-,-,-,-,-
PB Ratio,-0.31,-0.31,-2.65,1.30,1.93,3.44,4.04,3.64,2.65,3.79,4.44,2.56,3.59,3.62,10.00,17.15,8.94,12.67,-22.85,140.27,21.51,18.42,87.92,-,-,-,-,-,-
Debt / Equity Ratio,-11.72,-11.72,-49.33,20.21,19.53,14.47,12.90,6.28,4.25,6.99,7.14,8.16,9.89,15.28,18.12,26.58,15.99,24.81,-42.21,88.25,11.90,14.69,99.30,8.56,-,-,15.35,-,-29.51
Current Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.83,-,3.27
Dividend Yield,8.27%,-,-,2.77%,1.99%,0.87%,0.72%,0.63%,0.68%,0.40%,0.41%,0.80%,0.69%,1.07%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,-3.60%,0.00%,0.00%,17.50%,-16.90%,366.70%,-15.90%,-10.80%,4.40%,8.90%,50.00%,17.20%,10.20%,6.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-,-
Buyback Yield / Dilution,1.27%,1.27%,6.75%,0.93%,7.55%,5.25%,2.48%,1.33%,-5.12%,-4.05%,-0.34%,9.20%,11.81%,11.45%,9.32%,-0.34%,1.85%,0.20%,-18.51%,-17.83%,-23.11%,-21.71%,-4.67%,-,0.03%,-,-,-,-
Total Shareholder Return,9.73%,1.27%,6.75%,3.70%,9.54%,6.11%,3.20%,1.96%,-4.44%,-3.65%,0.06%,10.00%,12.49%,12.52%,9.32%,-0.34%,1.85%,0.20%,-18.51%,-17.83%,-23.11%,-21.71%,-4.67%,-,0.03%,-,-,-,-
