Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31
Market Capitalization,551,634,563,523,517,527,544,425,476,469,416,308,366,289,521,-,-,-,-,-,-
Market Cap Growth,-,20.28%,3.40%,22.96%,8.47%,12.31%,30.82%,38.03%,30.18%,62.31%,-20.22%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,577,659,729,630,485,296,273,78,55,158,226,194,141,102,319,-85,-,-,-103,-,-61
PE Ratio,9.61,12.18,9.97,9.19,9.40,9.65,9.67,7.69,9.13,10.23,11.29,7.65,7.76,5.32,7.80,-,-,-,-,-,-
PS Ratio,2.95,3.39,3.10,3.01,3.06,3.16,3.24,2.58,2.97,3.06,2.94,2.14,2.48,1.88,3.20,-,-,-,-,-,-
PB Ratio,1.23,1.41,1.51,1.46,1.38,1.38,1.32,1.12,1.28,1.31,1.14,0.87,1.05,0.85,1.57,-,-,-,-,-,-
Debt / Equity Ratio,0.45,0.45,0.75,0.52,0.34,0.33,0.34,0.33,0.33,0.33,0.34,0.34,0.26,0.23,0.25,0.20,-,-,0.25,-,0.32
Dividend Yield,3.84%,0.83%,0.82%,0.88%,0.89%,0.88%,0.80%,0.96%,0.86%,0.88%,0.99%,1.34%,1.13%,1.42%,-,-,-,-,-,-,-
Payout Ratio,36.50%,56.70%,35.60%,29.60%,32.70%,34.00%,32.60%,30.00%,30.00%,27.30%,32.60%,39.50%,55.60%,65.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-6.87%,-6.87%,1.03%,-5.29%,-5.59%,-5.67%,-5.80%,0.42%,0.34%,0.10%,-36.67%,-52.31%,-52.31%,-52.31%,-11.44%,-,0.24%,-,-,-,-
Total Shareholder Return,-3.03%,-6.04%,1.84%,-4.41%,-4.69%,-4.79%,-5.00%,1.39%,1.21%,0.97%,-35.68%,-50.97%,-51.18%,-50.88%,-11.44%,-,0.24%,-,-,-,-
