Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,295,217,95,217,226,731,881,689,571,-,-,-,-,-,-
Market Cap Growth,-,-70.23%,-89.23%,-68.55%,-60.48%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,291,213,122,237,241,567,687,565,511,-70,22,-,-,-,20
PE Ratio,-0.88,-0.88,-0.40,-1.02,-2.17,21.33,39.81,97.31,-26.68,-,-,-,-,-,-
PS Ratio,2.24,1.65,0.67,1.24,1.21,4.03,5.20,5.68,6.86,-,-,-,-,-,-
PB Ratio,1.08,0.80,0.37,0.82,0.67,1.59,2.09,2.44,2.84,-,-,-,-,-,-
Debt / Equity Ratio,0.14,0.14,0.25,0.37,0.37,0.33,0.20,0.07,0.11,0.11,1.84,-,-,-,0.79
Current Ratio,1.70,1.70,1.03,1.25,1.29,2.27,2.84,5.51,4.03,8.74,0.32,-,-,-,1.63
Buyback Yield / Dilution,-15.54%,-15.54%,-10.16%,-18.99%,-33.92%,-62.47%,-134.21%,-109.19%,-79.50%,-47.39%,-26.94%,-,-,-,-
Total Shareholder Return,-15.54%,-15.54%,-10.16%,-18.99%,-33.92%,-62.47%,-134.21%,-109.19%,-79.50%,-47.39%,-26.94%,-,-,-,-
