Metrics,Current,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31
Market Capitalization,19,25,66,220,346,268,94,28,12,29,39,39,72,-,-
Market Cap Growth,-,-90.61%,-30.08%,695.20%,2677.62%,819.81%,144.16%,-29.24%,-82.65%,-,-,-,-,-,-
Enterprise Value,-72,-65,-55,183,329,246,90,29,14,28,36,36,60,-1,0
PE Ratio,0.38,0.74,2.17,63.92,-26.42,-98.08,34.44,-6.50,-2.42,4.92,5.42,11.34,12.09,-,-
PS Ratio,0.08,0.11,0.41,3.25,8.20,16.73,37.36,-2.68,-,1.21,1.32,1.23,2.65,-,-
PB Ratio,0.10,0.13,0.37,2.51,4.50,4.47,1.75,0.77,0.34,0.70,0.95,1.24,2.30,-,-
Debt / Equity Ratio,0.07,0.07,0.07,0.14,0.16,0.03,0.01,0.10,0.11,0.03,0.04,0.02,0.03,0.05,0.07
Current Ratio,3.65,3.65,2.57,1.88,2.25,1.18,1.41,1.93,1.79,2.26,2.93,2.13,2.25,1.23,1.18
Buyback Yield / Dilution,-119.69%,-119.69%,-32.19%,-26.34%,-15.27%,-17.76%,-10.71%,-10.71%,-31.02%,-28.56%,-22.46%,-,-,-,-
Total Shareholder Return,-119.69%,-119.69%,-32.19%,-26.34%,-15.27%,-17.76%,-10.71%,-10.71%,-31.02%,-28.56%,-22.46%,-,-,-,-
