Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Market Capitalization,354,430,556,486,481,496,577,480,477,495,421,310,317,181,331,326,340,327,279,306,271,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Market Cap Growth,-,-13.34%,-3.70%,1.30%,0.77%,0.25%,37.18%,54.80%,50.42%,172.92%,27.12%,-4.95%,-6.71%,-44.51%,18.45%,6.51%,25.63%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,942,"1,018",948,999,709,366,469,572,254,171,203,488,455,255,366,403,404,310,234,357,294,45,-36,33,20,15,9,19,-63,-53,11,28,-58,-15,-12,-,-,-,-4
PE Ratio,5.73,7.44,10.51,10.05,10.72,10.23,11.07,8.90,8.97,13.09,14.03,14.14,17.80,8.02,13.93,15.20,17.13,19.64,19.83,31.30,35.77,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PS Ratio,1.53,1.86,2.55,2.41,2.59,2.69,3.18,2.61,2.65,3.14,3.05,2.73,3.29,2.04,3.75,3.87,4.29,4.50,4.13,5.13,4.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PB Ratio,0.59,0.72,0.96,0.96,1.08,1.09,1.33,1.12,1.11,1.19,1.03,0.78,0.82,0.64,1.16,1.16,1.23,1.22,1.08,1.44,1.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,1.43,1.43,0.96,1.33,0.88,0.48,0.43,0.41,0.33,0.33,0.26,0.73,0.76,0.65,0.65,0.66,0.54,0.25,0.35,0.48,0.49,0.52,0.45,0.60,0.61,0.63,0.47,0.46,0.46,0.47,0.49,0.76,0.55,0.31,0.19,-,-,-,0.21
Dividend Yield,3.44%,0.70%,0.54%,0.56%,0.56%,0.49%,0.42%,0.51%,0.52%,0.42%,0.49%,0.67%,0.65%,0.74%,0.40%,0.41%,0.39%,0.33%,0.33%,0.30%,0.30%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,19.50%,21.80%,17.40%,19.70%,19.70%,28.60%,20.30%,23.50%,14.30%,16.70%,13.90%,21.30%,90.90%,29.40%,22.70%,24.40%,19.60%,18.60%,28.60%,23.50%,23.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,-23.09%,-23.09%,-23.13%,-10.06%,-8.52%,1.40%,1.35%,0.73%,-0.61%,-53.97%,-55.65%,-54.62%,-54.68%,-0.88%,-15.12%,-15.90%,-30.08%,-30.18%,-12.72%,-66.36%,-48.17%,-47.99%,-45.30%,1.49%,1.49%,1.75%,-0.09%,2.34%,2.16%,-32.41%,-32.38%,-,-,-,-,-,-,-,-
Total Shareholder Return,-19.65%,-22.39%,-22.59%,-9.50%,-7.96%,1.89%,1.77%,1.24%,-0.08%,-53.55%,-55.16%,-53.95%,-54.03%,-0.14%,-14.72%,-15.49%,-29.68%,-29.86%,-12.39%,-66.06%,-47.87%,-47.99%,-45.30%,1.49%,1.49%,1.75%,-0.09%,2.34%,2.16%,-32.41%,-32.38%,-,-,-,-,-,-,-,-
