Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,500,628,715,582,595,645,361,375,358,385,296,222,231,207,403,365,382,376,387,460,428,413,404,398,342,333,327,246,202,211,231,184,195,169,158,142,146,64,64,79,77,Upgrade
Market Cap Growth,-,-2.66%,97.82%,55.11%,66.24%,67.67%,21.90%,69.06%,54.95%,85.48%,-26.39%,-39.30%,-39.51%,-44.88%,4.12%,-20.51%,-10.87%,-8.82%,-4.34%,15.34%,25.38%,24.13%,23.83%,62.25%,69.25%,57.29%,41.28%,33.73%,3.78%,25.40%,46.20%,29.68%,32.92%,163.19%,145.90%,79.28%,90.95%,42.64%,274.19%,289.49%,317.77%,Upgrade
Enterprise Value,869,998,861,666,492,191,-192,48,-16,114,127,69,129,289,558,555,578,578,645,655,619,553,595,604,504,493,477,205,358,332,343,296,312,255,284,271,195,157,148,179,143,Upgrade
PE Ratio,6.43,7.95,10.61,16.75,25.19,31.96,18.03,10.09,9.17,9.76,10.66,7.57,7.40,6.64,10.21,9.48,10.60,11.41,11.37,20.09,20.10,20.43,26.72,17.58,18.89,19.81,20.82,16.94,13.84,14.93,17.11,15.84,19.72,12.13,13.34,16.07,1.86,0.87,0.84,1.01,14.01,Upgrade
PS Ratio,1.95,2.45,2.95,2.94,3.52,4.34,2.75,2.73,2.60,2.84,2.50,1.87,1.91,1.70,3.08,2.83,3.07,3.08,3.20,3.91,3.80,3.83,3.91,3.91,3.53,3.52,3.58,2.78,2.27,2.31,2.49,1.95,2.06,1.85,1.77,1.65,1.69,0.72,0.68,0.83,0.80,Upgrade
PB Ratio,1.01,1.26,1.55,1.34,1.33,1.38,0.72,1.17,1.13,1.24,0.97,0.75,0.82,0.78,1.45,1.35,1.48,1.55,1.69,2.11,2.04,2.02,2.02,1.99,1.79,1.82,1.86,1.43,1.20,1.35,1.48,1.20,1.05,0.93,0.81,0.74,0.76,0.43,0.44,0.56,1.08,Upgrade
Debt / Equity Ratio,0.95,0.95,0.57,0.46,0.40,0.39,0.40,0.60,0.69,0.55,0.52,0.54,0.55,0.58,0.74,0.90,0.99,1.00,1.37,1.13,1.22,0.92,1.23,1.26,1.11,1.21,1.13,0.87,1.17,1.00,0.98,1.08,0.84,0.88,0.88,0.90,0.74,0.98,0.89,1.26,1.89,Upgrade
Dividend Yield,1.79%,0.36%,0.31%,0.38%,0.37%,0.34%,0.40%,0.38%,0.40%,0.08%,0.10%,0.13%,0.13%,0.14%,0.07%,0.08%,0.08%,0.08%,0.08%,0.06%,0.07%,0.07%,0.07%,0.07%,0.09%,0.09%,0.09%,0.12%,0.15%,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Payout Ratio,11.30%,9.40%,9.40%,11.60%,17.90%,18.50%,-14.30%,16.70%,16.70%,2.40%,3.70%,2.90%,3.20%,100.00%,3.10%,2.40%,3.20%,3.60%,3.40%,3.10%,4.80%,3.10%,-11.10%,3.70%,5.90%,6.70%,5.90%,8.30%,7.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.46%,-0.46%,-55.27%,-55.23%,-54.06%,-52.65%,2.21%,2.98%,2.78%,2.98%,1.83%,1.03%,0.71%,-0.43%,-0.49%,-0.50%,-0.50%,-0.66%,-0.44%,-0.41%,-0.56%,-0.46%,-0.24%,-0.24%,-0.09%,-0.25%,-0.24%,-0.26%,-0.28%,-0.04%,-0.14%,-0.12%,-0.10%,-111.66%,-111.56%,-112.08%,-112.08%,1.08%,1.19%,1.43%,1.43%,Upgrade
Total Shareholder Return,1.33%,-0.10%,-54.96%,-54.85%,-53.69%,-52.31%,2.60%,3.36%,3.18%,3.05%,1.93%,1.16%,0.84%,-0.29%,-0.41%,-0.42%,-0.42%,-0.58%,-0.37%,-0.34%,-0.49%,-0.39%,-0.17%,-0.17%,-0.00%,-0.16%,-0.15%,-0.14%,-0.14%,-0.04%,-0.14%,-0.12%,-0.10%,-111.66%,-111.56%,-112.08%,-112.08%,1.08%,1.19%,1.43%,1.43%,Upgrade
