Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31
Market Capitalization,704,771,838,571,570,546,551,543,539,580,501,454,459,397,496,470,454,388,310,-,-,-,-,-,-,-
Market Cap Growth,-,41.24%,52.07%,5.04%,5.82%,-5.79%,9.99%,19.70%,17.53%,46.07%,1.02%,-3.49%,1.13%,2.35%,60.18%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,652,719,841,475,562,477,321,287,336,396,408,443,383,446,524,433,359,315,245,31,-,-,-34,-32,-32,-8
PE Ratio,12.69,16.87,18.54,13.11,12.90,12.38,12.13,11.86,11.84,13.70,13.17,13.36,15.46,14.50,18.58,18.59,18.46,15.52,12.16,-,-,-,-,-,-,-
PS Ratio,5.45,5.96,6.89,4.93,5.17,5.00,4.99,5.06,5.05,5.54,5.08,4.80,5.20,4.93,6.44,6.40,6.46,5.50,4.32,-,-,-,-,-,-,-
PB Ratio,1.25,1.37,1.85,1.30,1.82,1.72,1.71,1.72,1.73,1.91,1.70,1.59,1.66,1.67,2.15,2.09,2.45,2.16,1.78,-,-,-,-,-,-,-
Debt / Equity Ratio,0.21,0.21,0.27,0.11,0.11,0.12,0.21,0.14,0.16,0.26,0.26,0.24,0.37,0.43,0.50,0.36,0.17,0.21,0.25,0.39,-,-,0.42,-,-,0.11
Dividend Yield,1.43%,0.34%,0.27%,0.33%,0.29%,0.31%,0.30%,0.71%,0.30%,0.28%,0.32%,0.34%,0.31%,0.36%,0.29%,0.30%,0.29%,0.34%,0.43%,-,-,-,-,-,-,-
Payout Ratio,18.20%,22.90%,17.50%,19.80%,14.20%,16.40%,15.00%,34.20%,14.00%,14.10%,14.00%,14.10%,18.00%,19.40%,19.00%,21.10%,22.00%,20.00%,22.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,-38.19%,-38.19%,-18.35%,2.66%,2.61%,1.86%,1.31%,0.86%,-7.98%,-9.08%,-9.11%,-8.81%,-8.80%,-7.71%,-6.62%,-6.66%,1.28%,1.27%,0.26%,-,-,-,-,-,-,-
Total Shareholder Return,-36.75%,-37.85%,-18.08%,2.99%,2.90%,2.16%,1.61%,1.56%,-7.68%,-8.80%,-8.78%,-8.47%,-8.49%,-7.35%,-6.34%,-6.36%,1.57%,1.61%,0.69%,-,-,-,-,-,-,-
