Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+62 Quarters
Market Capitalization,469,407,550,526,492,474,569,548,524,529,382,320,397,412,483,506,532,524,513,562,534,506,488,495,465,424,512,423,393,354,339,332,345,325,303,263,264,301,315,328,313,Upgrade
Market Cap Growth,-,-14.26%,-3.25%,-4.09%,-5.98%,-10.39%,48.74%,71.47%,31.74%,28.33%,-20.89%,-36.85%,-25.30%,-21.26%,-5.72%,-9.86%,-0.44%,3.51%,5.04%,13.36%,14.85%,19.20%,-4.69%,17.17%,18.37%,20.03%,51.12%,27.46%,13.77%,8.75%,11.79%,26.13%,31.08%,8.09%,-3.80%,-19.79%,-15.90%,-5.35%,-1.78%,7.38%,21.66%,Upgrade
Enterprise Value,378,316,381,299,97,19,-107,-86,-94,-98,-73,-55,-23,173,268,326,379,379,465,518,504,380,410,524,494,427,614,581,660,547,506,475,456,340,295,403,453,500,559,516,518,Upgrade
PE Ratio,8.21,8.31,11.79,11.78,11.21,10.29,11.12,10.51,10.95,12.40,10.64,9.42,11.41,11.13,12.46,13.13,13.82,14.11,14.11,19.88,19.94,20.95,22.72,18.57,18.31,16.81,20.38,17.00,15.88,14.33,13.87,13.95,14.20,13.04,12.33,10.88,11.71,14.39,14.14,12.92,10.42,Upgrade
PS Ratio,3.19,2.76,3.84,3.70,3.55,3.39,3.92,3.79,3.76,4.01,3.04,2.62,3.27,3.37,4.04,4.31,4.56,4.54,4.46,4.91,4.69,4.53,4.48,4.70,4.41,3.96,4.69,3.77,3.50,3.12,3.02,2.85,2.87,2.71,2.51,2.26,2.34,2.72,2.78,2.76,2.48,Upgrade
PB Ratio,1.09,0.94,1.30,1.27,1.18,1.12,1.33,1.28,1.22,1.24,0.90,0.76,0.96,1.00,1.13,1.50,1.59,1.57,1.54,1.66,1.58,1.48,1.39,1.41,1.33,1.24,1.51,1.25,1.18,1.05,0.99,0.96,1.00,0.93,0.86,0.76,0.77,0.90,0.96,0.93,0.89,Upgrade
Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.09,0.09,0.23,0.23,0.23,0.38,0.39,0.45,0.53,0.66,0.93,0.69,0.64,0.59,0.59,0.64,0.65,0.71,0.84,0.83,0.91,0.80,0.82,Upgrade
Dividend Yield,4.76%,1.16%,0.86%,0.91%,0.92%,0.96%,0.81%,0.85%,0.84%,0.84%,1.16%,1.39%,1.12%,1.09%,0.81%,0.77%,0.74%,0.64%,0.66%,0.62%,0.57%,2.22%,0.63%,0.62%,0.59%,0.64%,0.53%,0.65%,0.62%,0.71%,0.75%,0.78%,0.71%,0.77%,0.84%,0.96%,0.89%,0.78%,0.77%,0.77%,0.81%,Upgrade
Payout Ratio,38.10%,39.70%,37.70%,35.40%,40.30%,47.40%,42.90%,37.00%,32.50%,30.10%,38.50%,53.20%,53.20%,56.80%,41.00%,42.40%,37.30%,34.40%,36.80%,38.20%,33.30%,126.90%,257.10%,40.00%,42.10%,44.40%,42.10%,43.20%,38.90%,41.20%,41.20%,41.20%,39.40%,41.90%,43.30%,35.10%,32.40%,40.00%,44.40%,46.20%,46.20%,Upgrade
Buyback Yield / Dilution,3.41%,3.41%,4.63%,5.01%,4.87%,4.88%,3.80%,2.55%,1.08%,1.78%,-13.29%,-13.20%,-12.38%,-13.37%,3.49%,5.71%,6.04%,6.61%,4.95%,2.75%,1.72%,0.14%,-0.26%,0.00%,2.18%,4.58%,6.51%,7.66%,7.41%,7.51%,6.63%,4.96%,3.07%,0.83%,3.67%,7.85%,8.24%,8.24%,4.92%,0.98%,-6.51%,Upgrade
Total Shareholder Return,8.17%,4.57%,5.49%,5.92%,5.78%,5.84%,4.61%,3.40%,1.92%,2.62%,-12.13%,-11.81%,-11.26%,-12.28%,4.30%,6.48%,6.78%,7.25%,5.62%,3.37%,2.29%,2.37%,0.37%,0.63%,2.76%,5.23%,7.04%,8.31%,8.03%,8.21%,7.38%,5.74%,3.78%,1.61%,4.51%,8.81%,9.13%,9.02%,5.69%,1.76%,-5.70%,Upgrade
