Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Market Capitalization,779,782,"1,204","1,311",431,425,423,424,420,419,444,326
Market Cap Growth,-,84.01%,184.40%,209.46%,2.57%,1.34%,-4.76%,29.86%,-,-,-,-
Enterprise Value,793,796,"1,153","1,300",443,425,462,424,420,419,449,-89
PE Ratio,2.83,2.62,4.59,5.57,2.12,3.02,3.90,7.33,12.41,169.88,-18.57,-
PS Ratio,1.33,1.33,2.42,2.61,0.92,1.12,1.46,2.97,4.84,142.97,5.10,-
PB Ratio,1.21,1.21,1.93,2.82,1.06,28.09,0.89,-49.22,84.04,83.87,13.38,65.25
Debt / Equity Ratio,0.04,0.04,-,-,0.09,0.05,0.11,-0.02,-,-,0.19,-
Current Ratio,1.60,1.60,2.28,3.89,2.08,1.20,1.45,1.09,1.66,2.65,0.43,2.92
Dividend Yield,3.51%,-,-,-,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,-0.06%,-0.06%,-,-204.50%,2.80%,-199.48%,-455.32%,-569.74%,-2365.78%,-,-,-
Total Shareholder Return,3.45%,-0.06%,-,-204.50%,2.80%,-199.48%,-455.32%,-569.74%,-2365.78%,-,-,-
