Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Market Capitalization,668,692,735,593,667,760,735,724,722,727,578,502,483,298,790,860,924,893,776,"1,045","1,065","1,120","1,247","1,164",751,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Market Cap Growth,-,-8.97%,-0.03%,-18.10%,-7.67%,4.65%,27.26%,44.36%,49.60%,143.44%,-26.83%,-41.69%,-47.76%,-66.58%,1.77%,-17.65%,-13.26%,-20.26%,-37.76%,-10.25%,41.75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"1,718","1,742","1,782","1,585","1,707","1,687","1,686","1,740","1,664","1,637","1,493","1,539","1,488","1,496","1,931","1,993","1,957","1,960","1,649","1,932","1,893","1,873","2,049","1,979","1,327",617,654,616,543,518,463,430,361,353,300,222,126,53,25,-27,-30
PE Ratio,8.55,8.71,8.95,5.72,5.88,5.01,4.69,4.50,4.91,4.52,126.86,-84.92,-10.13,-3.19,12.88,25.81,19.09,17.26,19.84,15.54,12.28,12.57,14.81,15.60,9.60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PS Ratio,3.06,3.17,3.55,3.04,3.71,4.27,4.29,4.24,4.25,4.21,3.17,2.61,2.35,1.38,3.57,3.84,4.21,4.15,3.74,5.21,5.54,6.28,7.56,7.83,5.57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PB Ratio,0.73,0.75,0.80,0.63,0.72,0.80,0.78,0.77,0.78,0.80,0.64,0.56,0.55,0.37,0.83,0.88,0.90,0.84,0.73,0.95,0.95,0.99,1.11,1.03,0.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,1.19,1.19,1.17,1.13,1.17,1.05,1.10,1.12,1.08,1.04,1.09,1.20,1.17,1.58,1.23,1.23,1.07,1.04,0.90,0.91,0.76,0.71,0.74,0.76,0.54,0.87,0.91,0.91,0.88,0.93,0.88,0.85,0.80,0.90,0.91,0.89,0.60,0.30,0.36,0.29,0.00
Dividend Yield,12.77%,3.58%,3.40%,3.86%,3.15%,3.06%,3.12%,3.11%,2.98%,3.07%,3.49%,4.54%,4.57%,7.08%,4.10%,2.56%,2.95%,2.56%,4.59%,2.22%,2.17%,2.06%,1.85%,1.97%,2.26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,109.10%,83.00%,191.30%,56.30%,571.40%,71.40%,62.90%,43.70%,46.80%,57.80%,54.50%,63.80%,37.40%,-17.50%,122.20%,-246.70%,281.20%,67.30%,-5700.00%,370.00%,176.20%,108.80%,84.10%,90.20%,108.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,3.27%,3.27%,3.36%,3.46%,12.35%,3.50%,-5.04%,3.80%,-0.43%,-5.59%,4.87%,-3.33%,1.73%,7.54%,5.87%,4.76%,3.15%,1.17%,-0.41%,-1.18%,-36.08%,-49.87%,-52.78%,-64.95%,-33.65%,-30.55%,-38.68%,-37.73%,-49.17%,-63.17%,-124.40%,-109.54%,-78.90%,-82.37%,-334.03%,-225.33%,-3965.11%,-,-,-,-
Total Shareholder Return,16.04%,6.85%,6.76%,7.31%,15.49%,6.56%,-1.93%,6.91%,2.55%,-2.52%,8.36%,1.21%,6.30%,14.62%,9.97%,7.33%,6.10%,3.73%,4.19%,1.04%,-33.91%,-47.80%,-50.94%,-62.99%,-31.38%,-30.55%,-38.68%,-37.73%,-49.17%,-63.17%,-124.40%,-109.54%,-78.90%,-82.37%,-334.03%,-225.33%,-3965.11%,-,-,-,-
