Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"1,136","1,593","1,850","1,846","1,683","1,850","2,027","1,802","1,559","1,750","1,378","1,059","1,197",945,"1,254","1,127","1,200","1,158","1,016","1,176","1,219","1,169","1,222","1,227","1,155","1,086","1,188",888,785,764,776,751,720,674,719,621,631,665,642,537,456,Upgrade
Market Cap Growth,-,-13.90%,-8.76%,2.41%,7.99%,5.74%,47.16%,70.16%,30.19%,85.26%,9.89%,-6.01%,-0.18%,-18.45%,23.38%,-4.18%,-1.58%,-0.92%,-16.83%,-4.19%,5.49%,7.66%,2.85%,38.30%,47.20%,42.05%,53.16%,18.21%,8.96%,13.44%,7.82%,20.99%,14.18%,1.34%,12.02%,15.54%,38.44%,51.67%,52.03%,19.10%,4.06%,Upgrade
Enterprise Value,"1,183","1,639","2,017","1,641","1,514","1,450","1,419","1,320","1,061","1,323","1,213","1,016","1,182",897,"1,324","1,021","1,149","1,122","1,076","1,202","1,351","1,127","1,227","1,193","1,324","1,150","1,282",700,763,809,865,764,789,652,820,650,704,733,872,723,563,Upgrade
PE Ratio,10.62,15.25,17.82,18.08,17.23,19.19,21.18,18.77,16.46,19.44,16.34,12.93,14.85,11.43,14.40,13.07,14.06,13.83,12.64,16.64,18.49,19.12,21.31,20.73,20.31,19.99,22.81,17.45,16.04,16.09,16.73,16.63,15.98,14.96,16.42,14.32,15.17,16.83,16.53,14.57,12.51,Upgrade
PS Ratio,4.78,6.70,7.86,7.97,7.50,8.33,9.14,8.10,7.14,8.46,7.06,5.60,6.39,4.94,6.37,5.74,6.17,6.07,5.49,6.58,6.96,6.81,7.23,7.47,7.25,7.02,7.91,6.03,5.49,5.48,5.64,5.56,5.36,5.04,5.44,4.73,4.92,5.34,5.30,4.63,4.01,Upgrade
PB Ratio,1.89,2.65,3.25,3.56,3.00,3.04,2.88,2.64,2.30,2.69,2.10,1.66,1.93,1.56,2.10,1.93,2.12,2.13,1.95,2.36,2.51,2.47,2.61,2.65,2.57,2.48,2.78,2.08,1.87,1.88,1.97,1.94,1.92,1.82,1.99,1.76,1.84,2.00,2.00,1.71,1.48,Upgrade
Debt / Equity Ratio,0.33,0.33,0.52,-,-,0.12,0.11,0.11,0.11,0.12,0.13,0.13,0.18,0.14,0.28,0.05,0.26,0.28,0.53,0.42,0.64,0.27,0.39,0.21,0.68,0.40,0.61,0.21,0.21,0.31,0.43,0.29,0.42,0.25,0.53,0.28,0.68,0.44,0.91,0.85,0.55,Upgrade
Dividend Yield,3.99%,0.74%,0.56%,0.56%,0.61%,0.56%,0.43%,0.48%,0.56%,0.50%,0.55%,0.72%,0.64%,0.82%,0.62%,0.69%,0.64%,0.58%,0.66%,0.79%,0.55%,0.48%,0.46%,0.46%,0.49%,0.45%,0.41%,0.54%,0.61%,0.54%,0.53%,0.55%,0.57%,0.52%,0.49%,0.57%,0.56%,0.48%,0.50%,0.59%,0.69%,Upgrade
Payout Ratio,40.60%,48.40%,39.20%,35.70%,40.00%,43.00%,35.80%,35.80%,35.40%,37.80%,30.90%,33.70%,39.00%,44.10%,34.90%,35.70%,35.30%,30.60%,30.60%,44.40%,32.50%,30.10%,47.80%,34.90%,36.10%,32.80%,35.20%,34.60%,36.70%,33.30%,33.30%,35.40%,35.40%,31.30%,31.10%,30.00%,30.90%,31.80%,29.70%,32.30%,34.00%,Upgrade
Buyback Yield / Dilution,-0.20%,-0.20%,-0.26%,-0.39%,-0.37%,-0.55%,-0.84%,-0.58%,-0.52%,0.72%,1.40%,1.20%,1.18%,-0.27%,-0.19%,-0.20%,-0.25%,0.12%,-0.08%,-0.35%,-0.35%,-0.39%,-0.57%,-0.78%,-0.88%,-1.06%,-0.96%,-0.74%,-0.66%,-0.57%,-0.45%,-0.43%,-0.48%,-0.45%,-0.15%,-0.85%,-1.16%,-1.13%,-1.66%,-0.88%,-0.57%,Upgrade
Total Shareholder Return,3.78%,0.54%,0.30%,0.17%,0.24%,0.01%,-0.41%,-0.10%,0.04%,1.22%,1.95%,1.92%,1.82%,0.54%,0.43%,0.49%,0.39%,0.70%,0.58%,0.44%,0.20%,0.09%,-0.10%,-0.32%,-0.40%,-0.61%,-0.55%,-0.20%,-0.05%,-0.03%,0.08%,0.12%,0.09%,0.07%,0.35%,-0.28%,-0.61%,-0.65%,-1.16%,-0.29%,0.13%,Upgrade
