Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Market Capitalization,135,79,80,93,98,185,234,296,457,343,374,366,367,355,360,357,351,-
Market Cap Growth,-,-57.18%,-65.82%,-68.72%,-78.58%,-46.13%,-37.40%,-18.98%,24.64%,-3.44%,3.69%,2.52%,4.40%,-,-,-,-,-
Enterprise Value,"25,798","25,744","19,906","19,933","19,968","20,057","20,005","19,506","19,305",343,"18,205",365,365,354,359,355,349,0
PE Ratio,-0.44,-0.44,-0.42,-0.17,-0.23,-0.49,-0.93,1.01,0.88,0.52,0.72,0.81,1.76,5.81,6.63,116.10,-,-
PS Ratio,0.30,0.18,0.14,0.14,0.10,0.14,0.14,0.16,0.22,0.16,0.21,0.19,0.27,0.40,0.40,-,-,-
PB Ratio,0.45,0.27,0.32,0.31,0.27,0.47,0.60,-,-,-8.86,0.60,73.17,73.31,71.08,72.09,71.37,70.22,-
Debt / Equity Ratio,87.87,87.87,79.03,67.73,55.68,51.97,52.16,-,-,-,29.24,-,-,-,-,-,-,29.18
Current Ratio,-,-,-,-,-,-,-,-,-,0.05,0.51,1.30,26.33,7.57,17.31,20.93,11.13,0.34
Buyback Yield / Dilution,-0.45%,-0.45%,1.24%,-4.92%,1.77%,-427.16%,-430.36%,-66.57%,-432.03%,-,-,-,-,-400.00%,-475.00%,-,-,-
Total Shareholder Return,-0.45%,-0.45%,1.24%,-4.92%,1.77%,-427.16%,-430.36%,-66.57%,-432.03%,-,-,-,-,-400.00%,-475.00%,-,-,-
