Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"2,621","2,661","2,842","2,645","2,532","2,675","2,686","2,639","2,721","2,938","2,369","1,649","2,026","1,753","2,808","2,536","2,476","2,495","2,276","2,976","2,830","2,571","2,623","2,649","2,315","2,336","2,691","1,964","1,720","1,626","1,706","1,664","1,785","1,729","1,767","1,650","1,808","1,686","1,772","1,453","1,517",Upgrade
Market Cap Growth,-,-0.53%,5.81%,0.25%,-6.94%,-8.96%,13.39%,60.05%,34.29%,67.64%,-15.63%,-34.98%,-18.16%,-29.76%,23.39%,-14.80%,-12.51%,-2.95%,-13.24%,12.35%,22.22%,10.07%,-2.53%,34.88%,34.57%,43.67%,57.77%,18.04%,-3.60%,-5.94%,-3.49%,0.84%,-1.30%,2.55%,-0.23%,13.57%,19.18%,20.61%,45.68%,13.32%,15.57%,Upgrade
Enterprise Value,"1,955","1,995","1,331",479,199,288,487,"1,347","1,395","1,981","1,371","1,346","1,786","2,528","3,549","3,130","3,339","3,096","3,055","3,860","3,885","3,568","4,067","3,964","3,406","3,271","3,821","3,236","2,984","2,813","2,928","3,218","3,427","3,440","3,620","3,383","3,766","3,500","3,869","3,632","3,246",Upgrade
PE Ratio,7.56,7.64,9.47,10.52,11.38,10.42,10.58,10.74,11.64,16.03,14.16,9.65,11.29,9.32,13.69,11.97,11.70,11.64,10.54,14.69,14.80,14.38,16.66,17.94,16.10,17.57,20.10,14.72,13.27,12.15,12.48,11.86,12.61,11.89,11.54,10.75,11.89,11.88,14.02,13.29,15.25,Upgrade
PS Ratio,3.65,3.71,4.35,4.50,4.64,4.52,4.59,4.59,4.86,5.90,4.80,3.22,3.78,3.17,4.93,4.42,4.34,4.35,3.98,5.32,5.16,4.87,5.09,5.22,4.60,4.75,5.53,4.10,3.62,3.39,3.53,3.40,3.67,3.52,3.46,3.22,3.55,3.38,3.73,3.17,3.12,Upgrade
PB Ratio,1.22,1.23,1.39,1.35,1.21,1.25,1.16,1.15,1.19,1.34,1.09,0.77,0.95,0.82,1.33,1.23,1.20,1.26,1.17,1.60,1.51,1.40,1.43,1.46,1.29,1.34,1.56,1.12,0.99,0.96,1.02,1.00,1.10,1.07,1.12,1.07,1.18,1.15,1.24,1.03,1.09,Upgrade
Debt / Equity Ratio,0.25,0.25,0.28,0.55,0.52,0.49,0.44,0.43,0.44,0.46,0.46,0.44,0.45,0.53,0.47,0.43,0.57,0.48,0.57,0.63,0.70,0.68,0.93,0.88,0.78,0.71,0.81,0.87,0.87,0.85,0.90,1.08,1.17,1.23,1.33,1.32,1.57,1.48,1.67,1.75,1.41,Upgrade
Dividend Yield,2.92%,1.47%,-,1.41%,-,1.42%,-,1.44%,-,1.19%,-,2.11%,-,2.05%,-,1.42%,-,1.32%,1.22%,-,-,0.86%,-,0.83%,-,0.94%,-,1.05%,-,1.18%,-,1.16%,-,1.12%,-,1.10%,-,1.00%,-,1.07%,-,Upgrade
Payout Ratio,22.00%,38.40%,0.00%,44.80%,0.00%,71.40%,0.00%,69.80%,0.00%,68.80%,0.00%,80.90%,0.00%,101.90%,0.00%,69.60%,0.00%,63.30%,47.20%,0.00%,0.00%,40.70%,0.00%,55.00%,0.00%,68.80%,0.00%,57.40%,0.00%,58.00%,0.00%,60.40%,0.00%,53.70%,0.00%,54.00%,0.00%,38.50%,0.00%,48.90%,0.00%,Upgrade
Buyback Yield / Dilution,1.91%,1.91%,1.92%,1.77%,0.68%,-0.12%,-0.18%,-0.18%,-0.19%,2.77%,3.06%,3.43%,3.75%,0.91%,1.37%,1.18%,1.59%,1.54%,0.88%,0.48%,-0.33%,-0.17%,-0.33%,-0.68%,-0.84%,-0.95%,-0.06%,0.56%,0.79%,0.66%,0.34%,0.53%,0.58%,1.07%,0.72%,0.47%,0.33%,0.01%,-0.12%,-0.05%,0.05%,Upgrade
Total Shareholder Return,4.83%,3.39%,1.92%,3.19%,0.68%,1.30%,-0.18%,1.27%,-0.19%,3.96%,3.06%,5.54%,3.75%,2.96%,1.37%,2.61%,1.59%,2.86%,2.10%,0.48%,-0.33%,0.68%,-0.33%,0.15%,-0.84%,-0.01%,-0.06%,1.60%,0.79%,1.84%,0.34%,1.69%,0.58%,2.18%,0.72%,1.57%,0.33%,1.01%,-0.12%,1.02%,0.05%,Upgrade
