Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,"88,624","82,371","82,080","74,498","77,922","85,681","87,761","76,718","71,540","61,897","59,341","58,099","54,342","43,567","56,225","50,656","50,597","47,430","40,171","41,772","41,590","41,924","41,538","42,955","40,084","38,054","34,849","34,851","35,684","31,685","28,925","27,676","30,441","30,220","30,961","28,490","28,480","27,035","26,539","23,936","22,007",Upgrade
Market Cap Growth,-,-3.86%,-6.47%,-2.89%,8.92%,38.43%,47.89%,32.05%,31.65%,42.07%,5.54%,14.69%,7.40%,-8.14%,39.97%,21.27%,21.66%,13.13%,-3.29%,-2.75%,3.76%,10.17%,19.19%,23.25%,12.33%,20.10%,20.48%,25.93%,17.22%,4.85%,-6.57%,-2.85%,6.88%,11.78%,16.66%,19.03%,29.41%,29.84%,41.43%,29.63%,25.00%,Upgrade
Enterprise Value,"103,064","96,346","94,110","86,980","90,877","98,814","99,171","88,303","83,759","74,226","70,831","70,696","68,066","57,959","69,294","64,309","64,753","61,228","44,929","46,971","46,806","47,083","45,820","47,365","44,759","43,015","38,630","38,219","39,467","35,780","31,965","30,830","33,447","33,005","32,382","29,860","30,020","28,706","27,191","24,968","23,490",Upgrade
PE Ratio,28.18,25.63,26.91,22.00,23.07,26.52,27.92,28.27,28.70,27.57,29.44,28.58,26.90,24.48,32.28,33.68,34.26,28.30,24.35,27.37,25.31,25.99,27.84,22.62,21.27,20.50,19.71,20.42,21.61,19.83,18.09,18.23,20.40,20.09,21.13,19.33,19.92,19.49,19.56,18.23,16.92,Upgrade
PS Ratio,4.22,3.91,3.96,3.58,3.77,4.22,4.43,4.02,3.87,3.51,3.45,3.40,3.18,2.53,3.38,3.15,3.24,3.16,2.69,2.80,2.82,2.89,2.96,3.14,2.97,2.84,2.64,2.64,2.71,2.44,2.24,2.16,2.37,2.34,2.39,2.22,2.26,2.18,2.16,1.97,1.83,Upgrade
PB Ratio,8.13,7.52,7.80,7.79,7.29,7.83,7.97,7.88,7.08,6.56,6.52,6.76,6.61,5.97,7.22,6.65,6.27,6.00,5.35,5.61,5.39,5.28,5.65,6.10,5.73,5.83,5.63,5.22,5.39,4.74,4.44,4.43,4.49,4.46,4.39,3.64,3.49,3.40,3.36,3.40,3.25,Upgrade
Debt / Equity Ratio,1.37,1.37,1.28,1.39,1.30,1.27,1.20,1.33,1.30,1.43,1.49,1.74,1.88,2.18,1.83,1.95,1.92,1.89,0.78,0.83,0.81,0.80,0.75,0.78,0.81,0.90,0.78,0.71,0.72,0.75,0.68,0.72,0.58,0.57,0.48,0.51,0.43,0.38,0.37,0.46,0.40,Upgrade
Current Ratio,1.15,1.15,1.16,1.04,1.16,1.18,1.24,1.18,1.30,1.23,1.24,1.27,1.37,1.13,1.06,1.14,1.18,2.21,1.21,1.26,1.47,1.52,1.31,1.37,1.42,1.39,1.20,1.36,1.41,1.52,1.36,1.62,1.65,1.88,1.51,1.66,1.82,1.66,1.65,1.58,1.76,Upgrade
Dividend Yield,1.32%,0.36%,0.36%,0.40%,0.35%,0.32%,0.31%,0.36%,0.33%,0.39%,0.40%,0.41%,0.43%,0.53%,0.41%,0.46%,0.42%,0.45%,0.52%,0.51%,0.46%,0.46%,0.47%,0.45%,0.44%,0.47%,0.51%,0.51%,0.46%,0.51%,0.56%,0.60%,0.50%,0.50%,0.50%,0.54%,0.49%,0.51%,0.53%,0.58%,0.58%,Upgrade
Payout Ratio,35.60%,23.60%,62.10%,53.60%,27.70%,25.10%,33.60%,50.50%,28.90%,24.10%,63.70%,75.00%,40.30%,30.50%,59.10%,75.80%,62.90%,29.20%,138.30%,75.50%,35.70%,27.60%,625.00%,48.70%,34.70%,30.90%,40.00%,46.60%,34.10%,33.70%,43.10%,50.80%,35.90%,31.50%,50.90%,50.90%,32.10%,30.90%,45.50%,54.30%,32.40%,Upgrade
Buyback Yield / Dilution,1.77%,1.77%,2.14%,1.95%,1.36%,0.97%,0.39%,-0.20%,-0.39%,-0.78%,-0.78%,-0.20%,0.20%,0.20%,-0.59%,-0.20%,-,0.58%,1.55%,1.73%,1.54%,1.53%,0.96%,0.76%,0.95%,0.76%,0.57%,1.88%,2.96%,3.49%,4.73%,3.27%,2.70%,1.98%,1.43%,1.25%,0.54%,0.18%,-1.09%,-1.09%,-1.08%,Upgrade
Total Shareholder Return,3.08%,2.13%,2.51%,2.35%,1.71%,1.29%,0.70%,0.16%,-0.06%,-0.40%,-0.38%,0.21%,0.62%,0.73%,-0.18%,0.26%,0.42%,1.03%,2.08%,2.24%,2.00%,1.99%,1.43%,1.22%,1.39%,1.23%,1.08%,2.39%,3.41%,4.00%,5.29%,3.86%,3.20%,2.48%,1.93%,1.80%,1.02%,0.69%,-0.56%,-0.50%,-0.50%,Upgrade
