Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Market Capitalization,"1,991","2,223","3,048","3,503","3,372","3,973","3,767","3,791","3,842","3,603","3,046",-,-,-,-,-,-,-,-
Market Cap Growth,-,-44.04%,-19.09%,-7.61%,-12.22%,10.28%,23.67%,-,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,991,"1,224","3,619","3,767","3,046","3,177","2,569","2,570","2,306","1,772","1,020","-2,299","-1,403","2,282",-127,-,-,-,"2,655"
PE Ratio,-48.49,-48.49,15.26,18.19,19.28,25.06,24.36,50.20,57.41,58.15,133.96,-,-,-,-,-,-,-,-
PS Ratio,4.84,5.41,4.20,4.88,4.98,6.10,5.95,6.22,6.32,6.09,5.63,-,-,-,-,-,-,-,-
PB Ratio,0.77,0.86,1.23,1.45,1.24,1.32,1.11,1.11,1.12,1.06,0.89,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.44,0.44,0.30,0.17,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,1.83,0.15,-,-,-,2.03
Dividend Yield,3.54%,-,0.58%,0.51%,0.54%,0.46%,0.40%,0.39%,0.39%,0.31%,-,-,-,-,-,-,-,-,-
Payout Ratio,-103.40%,0.00%,37.00%,30.30%,32.30%,33.30%,38.10%,36.40%,40.00%,21.40%,0.00%,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,4.48%,4.48%,5.40%,4.51%,2.19%,1.24%,-,-4.18%,-4.18%,-4.18%,-,-,-,-,-,-,-,-,-
Total Shareholder Return,8.02%,4.48%,5.98%,5.01%,2.73%,1.71%,0.40%,-3.79%,-3.79%,-3.87%,-,-,-,-,-,-,-,-,-
