Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,73,62,44,48,50,70,72,105,150,127,130,99,155,220,235,250,244,321,393,398,283,186,298,86,87,80,66,30,26,29,28,35,40,38,49,48,62,68,36,37,34,Upgrade
Market Cap Growth,-,-11.30%,-38.74%,-54.24%,-66.62%,-44.76%,-44.76%,5.85%,-2.99%,-42.38%,-44.66%,-60.37%,-36.54%,-31.44%,-40.18%,-37.20%,-13.63%,72.27%,31.71%,361.91%,225.20%,133.48%,352.94%,182.61%,231.09%,177.74%,131.05%,-12.10%,-33.89%,-24.86%,-41.36%,-27.31%,-35.71%,-43.83%,36.65%,29.34%,84.20%,106.59%,-3.65%,15.09%,-9.59%,Upgrade
Enterprise Value,-184,-196,-250,-242,-265,-205,-245,-219,-192,-201,-189,-159,-96,-5,15,248,243,319,385,391,276,181,294,83,85,78,63,24,18,20,19,29,34,31,40,38,47,52,19,17,13,Upgrade
PE Ratio,32.43,28.49,-22.11,37.50,45.78,38.56,14.18,19.08,28.92,29.64,43.70,57.63,64.36,73.54,72.59,27.99,22.69,27.91,32.83,54.18,54.16,49.11,138.22,-48.25,-22.16,-15.89,-11.80,-11.86,-12.18,-15.64,-9.93,-20.15,-16.23,-4.71,-7.41,-5.27,-6.69,-15.07,-6.01,-7.85,-8.47,Upgrade
PS Ratio,1.32,1.11,0.88,0.94,0.93,1.19,1.06,1.55,2.38,2.15,2.37,1.94,3.15,4.65,5.49,6.54,6.92,9.98,13.07,13.96,11.94,9.85,22.74,7.99,8.77,8.23,6.71,3.04,2.55,2.88,2.82,2.83,3.02,2.59,3.07,3.17,4.05,4.29,2.17,2.18,1.94,Upgrade
PB Ratio,1.42,1.19,0.90,0.93,0.99,1.40,1.46,2.46,3.49,3.04,3.42,2.73,4.34,6.45,7.09,12.32,12.75,17.64,22.87,33.65,32.51,26.96,57.20,19.22,25.00,25.61,29.22,2.29,1.82,1.89,1.82,2.18,2.39,2.25,2.62,2.71,3.24,2.71,1.42,1.38,1.19,Upgrade
Debt / Equity Ratio,0.17,0.17,0.19,0.25,0.27,0.28,0.36,0.29,0.30,0.31,0.33,0.39,0.32,0.35,0.38,0.14,0.15,0.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Current Ratio,1.05,1.05,1.05,1.03,1.03,1.03,1.02,1.03,1.02,1.02,1.02,1.04,1.03,1.05,1.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Dividend Yield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.71%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,
Payout Ratio,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-142.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,Upgrade
Buyback Yield / Dilution,-0.32%,-0.32%,-2.19%,-4.10%,-3.58%,-3.95%,-2.69%,-1.54%,-2.27%,-2.34%,-1.31%,-0.65%,-0.43%,-,-12.15%,-12.15%,-12.15%,-12.16%,-14.22%,-22.97%,-22.97%,-22.97%,-7.66%,-,-,-,-0.05%,0.02%,-,-,0.05%,-0.02%,-,0.01%,-0.00%,-,0.00%,0.03%,0.06%,0.07%,0.07%,Upgrade
Total Shareholder Return,-0.32%,-0.32%,-2.19%,-4.10%,-3.58%,-3.95%,-2.69%,-1.54%,-2.27%,-2.34%,-1.31%,-0.65%,-0.43%,-,-12.15%,-12.15%,-12.15%,-12.16%,-14.22%,-22.97%,-22.97%,-22.97%,-7.66%,-,-,-,6.66%,0.02%,-,-,0.05%,-0.02%,-,0.01%,-0.00%,-,0.00%,0.03%,0.06%,0.07%,0.07%,Upgrade
