Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
Market Capitalization,32,41,43,42,43,54,50,44,68,25,22,15,26,13,52,63,79,137,124,160,136,201,195,123,103,119,87,96,101,92,107,126,173,236,187
Market Cap Growth,-,-24.39%,-14.09%,-4.50%,-36.52%,112.29%,129.67%,202.05%,166.54%,100.61%,-57.83%,-77.02%,-67.33%,-90.76%,-58.12%,-60.41%,-42.38%,-31.86%,-36.25%,30.62%,32.55%,69.24%,123.83%,27.57%,2.31%,29.72%,-18.77%,-23.93%,-42.02%,-61.15%,-42.69%,-,-,-,-
Enterprise Value,103,112,84,124,121,118,108,101,133,89,76,46,60,73,108,65,72,135,82,103,96,165,161,67,52,66,-7,-1,-0,-45,-30,-22,7,202,154
PE Ratio,-1.27,-1.27,-1.32,-1.56,-1.66,-1.45,-1.09,-0.69,-0.90,-0.32,-0.09,-0.06,-0.11,-0.06,-1.72,-4.27,-19.70,16.85,24.89,-58.07,-22.64,-9.28,-10.60,-11.98,-11.88,-39.00,-36.29,-214.86,-930.59,18.66,-89.95,-6.55,-6.18,-5.19,-4.02
PS Ratio,0.05,0.06,0.07,0.07,0.08,0.12,0.13,0.14,0.26,0.12,0.08,0.04,0.08,0.04,0.18,0.27,0.36,0.65,0.64,0.92,0.90,1.72,2.39,1.72,1.50,1.77,1.29,1.48,1.60,1.55,1.82,2.52,4.48,8.40,10.80
PB Ratio,-0.15,-0.15,-0.16,-0.16,-0.17,-0.21,-0.21,-0.18,-0.30,-0.12,-0.11,-0.08,-0.16,-0.09,1.25,0.95,1.13,1.96,1.90,2.54,3.28,6.59,6.45,3.85,3.20,3.14,2.33,2.80,3.10,3.00,3.33,4.84,8.35,18.83,12.47
Debt / Equity Ratio,-0.51,-0.51,-0.45,-0.62,-0.65,-0.51,-0.54,-0.55,-0.58,-0.62,-0.69,-0.76,-0.86,-0.95,2.67,0.76,0.67,0.73,0.27,0.29,0.31,0.43,0.39,0.01,0.01,-,-,-,-,-,-,-,-,-,-
Current Ratio,1.16,1.16,1.03,1.09,1.14,0.83,0.86,0.86,0.71,0.74,1.00,0.71,0.74,0.78,1.08,1.19,1.51,1.87,2.01,1.88,1.45,1.86,1.92,2.72,2.77,2.07,4.55,4.87,4.47,7.36,8.32,5.01,4.35,3.65,3.19
Buyback Yield / Dilution,-6.23%,-6.23%,0.22%,0.74%,-12.48%,-4.58%,-18.10%,-29.31%,-21.82%,-22.15%,-5.55%,17.11%,16.49%,10.21%,-7.61%,-19.04%,-9.25%,-15.79%,1.66%,-13.78%,-9.80%,-3.37%,7.04%,9.20%,-10.60%,7.75%,-2.43%,-2.72%,6.78%,-11.91%,-11.96%,-11.16%,-10.90%,-0.05%,-
Total Shareholder Return,-6.23%,-6.23%,0.22%,0.74%,-12.48%,-4.58%,-18.10%,-29.31%,-21.82%,-22.15%,-5.55%,17.11%,16.49%,10.21%,-7.61%,-19.04%,-9.25%,-15.79%,1.66%,-13.78%,-9.80%,-3.37%,7.04%,9.20%,-10.60%,7.75%,-2.43%,-2.72%,6.78%,-11.91%,-11.96%,-11.16%,-10.90%,-0.05%,-
