Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+38 Quarters
Market Capitalization,"8,167","8,625","9,193","9,020","10,334","11,736","14,738","11,156","11,042","9,655","9,919","6,894","6,033","4,982","6,478","6,249","6,170","5,366","4,686","5,368","5,453","4,059","4,124","3,615","3,363","3,374","3,167","3,413","3,509","3,788","3,555","3,551","3,532","3,323","2,885","3,037","3,212","3,532","3,588","3,655","3,607",Upgrade
Market Cap Growth,-,-26.51%,-37.62%,-19.14%,-6.41%,21.55%,48.59%,61.83%,83.04%,93.81%,53.13%,10.31%,-2.22%,-7.16%,38.24%,16.42%,13.15%,32.18%,13.62%,48.51%,62.13%,20.30%,30.20%,5.90%,-4.16%,-10.92%,-10.91%,-3.89%,-0.64%,14.00%,23.24%,16.95%,9.95%,-5.94%,-19.61%,-16.92%,-10.95%,8.82%,21.18%,20.56%,25.76%,Upgrade
Enterprise Value,"9,119","9,577","10,102","9,970","11,249","11,862","14,724","11,195","11,130","9,792","10,081","7,181","6,316","5,335","6,798","6,608","5,910","5,163","4,360","5,091","5,226","3,854","3,951","3,496","3,254","3,292","3,113","3,208","3,338","3,636","3,342","3,288","3,308","3,124","2,690","2,839","2,991","3,268","3,290","3,312","3,293",Upgrade
PE Ratio,492.00,513.38,130.40,72.92,56.87,63.61,76.25,52.60,46.14,37.92,44.36,39.19,40.54,34.91,42.62,37.47,35.34,30.78,25.61,29.91,34.84,25.25,30.13,21.48,20.43,22.45,19.67,26.67,26.73,28.76,26.81,27.99,28.58,40.72,36.84,38.88,40.48,29.37,29.06,29.20,29.87,Upgrade
PS Ratio,4.31,4.56,4.92,4.86,5.68,6.66,8.67,6.90,7.14,6.62,7.14,5.14,4.65,4.00,5.49,5.63,5.84,5.18,4.59,5.37,5.63,4.29,4.52,4.10,3.97,4.14,3.97,4.33,4.46,4.79,4.51,4.53,4.52,4.32,3.80,4.08,4.43,4.97,5.14,5.31,5.34,Upgrade
PB Ratio,6.78,7.16,7.62,7.65,8.33,8.68,10.41,8.05,8.18,7.31,7.80,5.86,5.55,4.82,5.98,6.00,6.15,5.54,5.01,5.79,6.26,4.73,5.12,4.64,4.55,4.70,4.55,5.16,5.49,6.01,5.55,5.22,5.28,5.03,4.42,4.54,4.81,5.08,5.20,4.83,5.04,Upgrade
Debt / Equity Ratio,1.11,1.11,1.10,1.15,1.07,0.50,0.38,0.38,0.40,0.43,0.49,0.56,0.61,0.68,0.63,0.68,0.15,0.18,0.07,0.10,0.14,0.17,0.22,0.26,0.31,0.33,0.36,0.09,0.12,0.12,0.05,-,0.05,0.07,0.05,0.04,-,-,-,-,-,Upgrade
Current Ratio,0.93,0.93,0.92,0.98,1.02,1.25,1.13,1.15,1.11,1.20,1.17,1.11,1.25,1.27,1.22,1.30,1.63,1.57,1.66,1.82,1.71,1.68,1.64,1.69,1.68,1.62,1.60,1.32,1.25,1.24,1.35,1.54,1.43,1.43,1.33,1.34,1.25,1.71,1.66,1.92,1.83,Upgrade
Dividend Yield,0.96%,0.19%,0.17%,-,0.15%,0.27%,0.09%,0.12%,0.12%,-,0.27%,0.19%,0.21%,0.26%,0.19%,0.19%,0.20%,0.22%,0.23%,0.20%,0.20%,0.26%,0.24%,0.27%,0.29%,0.29%,0.30%,0.28%,0.27%,0.25%,0.24%,0.24%,0.24%,0.25%,0.26%,0.25%,0.24%,0.22%,0.16%,0.16%,0.16%,Upgrade
Payout Ratio,273.70%,-208.30%,450.00%,0.00%,50.70%,67.30%,23.90%,27.60%,40.90%,0.00%,34.90%,16.90%,26.50%,53.60%,43.10%,24.30%,28.30%,35.90%,25.00%,18.80%,25.50%,25.30%,25.00%,28.70%,21.50%,54.80%,13.50%,31.40%,29.70%,32.80%,22.40%,25.00%,26.00%,28.40%,23.90%,25.40%,-77.30%,28.80%,18.10%,18.40%,18.70%,Upgrade
Buyback Yield / Dilution,1.15%,1.15%,2.52%,1.61%,0.92%,-0.23%,-1.16%,-0.46%,-0.23%,-,0.69%,-0.23%,-0.23%,-0.70%,-1.16%,-0.23%,-0.23%,-0.23%,-0.70%,-0.70%,0.23%,0.69%,1.39%,1.15%,0.46%,-0.23%,1.59%,2.26%,2.48%,3.15%,1.35%,1.34%,0.89%,1.33%,3.24%,3.48%,4.38%,3.66%,3.16%,4.05%,6.02%,Upgrade
Total Shareholder Return,2.12%,1.34%,2.68%,1.61%,1.07%,0.03%,-1.06%,-0.34%,-0.11%,-,0.96%,-0.05%,-0.02%,-0.44%,-0.97%,-0.04%,-0.04%,-0.01%,-0.47%,-0.50%,0.43%,0.96%,1.62%,1.43%,0.76%,0.06%,1.89%,2.54%,2.75%,3.40%,1.58%,1.57%,1.13%,1.58%,3.51%,3.73%,4.62%,3.88%,3.32%,4.21%,6.19%,Upgrade
