Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+40 Quarters
Market Capitalization,47,51,54,59,65,61,62,59,61,56,52,52,56,50,64,63,66,63,58,67,71,75,76,83,80,84,76,71,69,74,79,72,71,70,70,69,75,74,68,70,69,Upgrade
Market Cap Growth,-,-15.78%,-12.17%,0.01%,8.18%,8.74%,18.69%,13.52%,8.57%,11.91%,-18.95%,-17.63%,-15.16%,-20.82%,10.64%,-6.95%,-7.87%,-15.96%,-23.12%,-18.48%,-10.52%,-11.46%,-0.34%,16.74%,15.23%,14.28%,-3.79%,-1.18%,-2.15%,6.05%,13.19%,4.00%,-5.72%,-6.03%,2.06%,-1.26%,9.12%,8.62%,18.67%,22.55%,4.67%,Upgrade
Enterprise Value,115,124,120,102,75,56,66,84,97,95,99,94,98,88,114,116,123,109,104,109,115,115,115,122,124,126,117,97,90,91,109,89,84,83,89,73,81,80,88,77,77,Upgrade
PE Ratio,38.53,46.46,42.20,42.09,41.19,29.15,27.92,27.92,33.27,-4.58,-4.21,-4.14,-4.44,48.66,65.00,69.14,80.96,119.86,121.30,57.13,53.94,48.94,49.30,90.15,85.29,76.74,68.32,56.26,46.11,44.63,39.10,32.74,34.18,35.61,36.50,35.79,38.79,31.55,27.43,24.80,23.58,Upgrade
PS Ratio,5.15,5.49,5.72,6.23,6.73,5.84,5.80,5.48,5.81,5.59,5.35,5.35,5.80,5.16,6.65,6.49,6.79,6.52,6.07,6.71,6.98,7.26,7.30,8.34,7.99,8.30,7.39,6.73,6.50,6.88,7.15,6.47,6.35,6.17,6.11,6.01,6.64,6.32,5.73,5.98,6.17,Upgrade
PB Ratio,0.95,1.00,1.05,1.14,1.26,1.15,1.17,1.12,1.16,1.07,1.00,1.00,1.07,0.76,0.98,0.95,0.99,0.94,0.87,1.00,1.06,1.11,1.12,1.23,1.19,1.25,1.12,1.05,1.02,1.10,1.17,1.06,1.05,1.04,1.04,1.03,1.12,1.10,1.02,1.05,1.03,Upgrade
Debt / Equity Ratio,1.59,1.59,1.42,1.00,0.67,0.78,0.93,0.98,1.10,1.04,1.18,1.15,1.07,0.85,0.94,0.99,1.02,0.85,0.83,0.76,0.80,0.74,0.72,0.70,0.84,0.81,0.79,0.60,0.50,0.51,0.66,0.45,0.41,0.34,0.44,0.22,0.27,0.28,0.41,0.29,0.37,Upgrade
Dividend Yield,6.92%,1.60%,1.50%,1.39%,1.25%,1.36%,1.33%,1.40%,1.36%,1.48%,1.58%,1.60%,1.48%,1.67%,1.29%,1.33%,1.27%,1.33%,1.45%,1.25%,1.18%,1.13%,1.12%,1.02%,1.06%,1.01%,1.11%,1.19%,1.22%,1.14%,1.07%,1.18%,1.19%,1.21%,1.22%,1.24%,1.14%,1.15%,1.25%,1.22%,1.24%,Upgrade
Payout Ratio,307.70%,500.00%,250.00%,200.00%,500.00%,250.00%,166.70%,142.90%,125.00%,166.70%,250.00%,250.00%,-6.20%,333.30%,333.30%,333.30%,250.00%,500.00%,500.00%,500.00%,-,500.00%,90.90%,333.30%,500.00%,500.00%,333.30%,250.00%,200.00%,500.00%,200.00%,166.70%,142.90%,166.70%,142.90%,200.00%,200.00%,166.70%,142.90%,200.00%,100.00%,Upgrade
Buyback Yield / Dilution,0.76%,0.78%,0.76%,0.82%,0.10%,0.32%,0.33%,0.37%,0.43%,0.53%,0.61%,1.42%,1.34%,1.03%,1.35%,0.74%,0.83%,0.83%,0.43%,0.13%,-,0.46%,-0.06%,-0.06%,-0.06%,-0.52%,-,-,-,0.21%,0.99%,1.50%,0.99%,0.84%,0.06%,-0.46%,0.06%,-,-10.51%,-13.13%,-10.26%,Upgrade
Total Shareholder Return,7.68%,2.38%,2.26%,2.21%,1.36%,1.67%,1.65%,1.77%,1.79%,2.01%,2.19%,3.01%,2.82%,2.70%,2.64%,2.08%,2.11%,2.16%,1.88%,1.38%,1.18%,1.59%,1.06%,0.96%,1.00%,0.48%,1.11%,1.19%,1.22%,1.36%,2.06%,2.68%,2.19%,2.05%,1.28%,0.79%,1.19%,1.15%,-9.26%,-11.90%,-9.02%,Upgrade
