Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+66 Quarters
Market Capitalization,598,669,689,724,860,780,582,580,697,873,628,509,693,817,"1,095","1,187","1,221","1,098","1,390","1,272","1,359","1,192","1,134","1,147","1,111","1,089","1,247","1,075","1,076","1,104",961,878,820,794,745,700,745,770,728,772,628,Upgrade
Market Cap Growth,-,-14.14%,18.53%,24.72%,23.47%,-10.68%,-7.43%,14.07%,0.49%,6.87%,-42.60%,-57.13%,-43.24%,-25.58%,-21.26%,-6.70%,-10.11%,-7.94%,22.60%,10.90%,22.35%,9.50%,-9.06%,6.70%,3.25%,-1.39%,29.79%,22.37%,31.23%,39.10%,29.01%,25.45%,10.06%,3.11%,2.28%,-9.28%,18.64%,19.77%,31.16%,20.65%,15.37%,Upgrade
Enterprise Value,594,666,643,721,818,720,500,497,628,852,590,409,547,696,974,"1,057","1,073","1,002","1,326","1,220","1,258",875,"1,038","1,048",980,995,"1,158",934,956,960,854,754,726,683,654,628,654,701,636,685,547,Upgrade
PE Ratio,-53.03,-53.03,45.87,13.75,13.03,8.64,7.22,41.54,-50.92,-40.66,-5.57,-4.01,-7.53,-7.99,73.86,137.23,55.37,41.56,50.28,12.35,18.35,15.52,22.22,67.36,23.50,22.97,24.99,15.62,14.16,12.57,10.78,9.44,11.10,11.43,12.59,13.76,11.96,11.48,9.56,16.35,14.20,Upgrade
PS Ratio,0.60,0.67,0.70,0.74,0.87,0.77,0.55,0.53,0.61,0.73,0.59,0.48,0.65,0.76,0.91,1.02,1.06,0.98,1.30,1.17,1.27,1.13,1.08,1.10,1.08,1.04,1.25,1.14,1.13,1.19,1.07,0.87,0.84,0.83,0.79,0.76,0.82,0.86,0.83,0.90,0.74,Upgrade
PB Ratio,0.79,0.89,0.93,1.03,1.10,0.93,0.66,0.71,0.83,1.06,0.76,0.62,0.81,0.98,1.20,1.23,1.26,1.15,1.57,1.44,1.41,1.23,1.17,1.22,1.15,1.13,1.32,1.12,1.12,1.19,1.09,1.04,0.99,0.94,0.91,0.87,0.90,0.95,0.93,1.04,0.86,Upgrade
Debt / Equity Ratio,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Dividend Yield,2.69%,0.61%,0.58%,0.56%,0.47%,0.49%,0.62%,0.65%,0.55%,0.44%,0.60%,1.62%,1.20%,1.01%,0.71%,0.70%,0.68%,0.72%,0.52%,6.67%,0.58%,0.60%,0.58%,0.61%,0.65%,0.59%,0.49%,0.60%,0.59%,0.50%,0.57%,0.63%,0.67%,0.63%,0.67%,0.72%,0.68%,0.59%,0.63%,0.59%,0.73%,Upgrade
Payout Ratio,-128.00%,533.30%,20.00%,-17.60%,-38.10%,13.30%,6.50%,-39.50%,27.30%,20.00%,-42.90%,-22.10%,137.50%,-11.40%,-35.90%,-366.70%,-194.10%,17.50%,-26.50%,752.30%,3100.00%,15.20%,15.30%,-38.90%,233.30%,32.10%,53.20%,51.00%,208.30%,24.70%,17.90%,28.20%,36.70%,21.10%,14.50%,2000.00%,47.60%,34.00%,17.10%,39.10%,29.50%,Upgrade
Buyback Yield / Dilution,-0.70%,-0.70%,-4.61%,-0.39%,1.06%,0.22%,3.80%,-0.24%,-0.64%,-1.46%,-6.00%,0.58%,-0.18%,2.31%,-1.80%,1.76%,1.57%,-0.57%,0.91%,-2.67%,0.05%,1.53%,3.28%,3.31%,-1.02%,-2.56%,3.58%,-2.99%,-1.37%,-0.88%,-0.29%,0.48%,1.21%,1.50%,1.43%,0.67%,-0.13%,-0.50%,-0.05%,0.25%,0.70%,Upgrade
Total Shareholder Return,2.01%,-0.09%,-4.02%,0.17%,1.53%,0.71%,4.42%,0.41%,-0.09%,-1.03%,-5.41%,2.20%,1.02%,3.32%,-1.09%,2.46%,2.25%,0.15%,1.43%,4.00%,0.63%,2.13%,3.86%,3.92%,-0.37%,-1.96%,4.06%,-2.38%,-0.78%,-0.38%,0.29%,1.11%,1.88%,2.13%,2.10%,1.39%,0.55%,0.09%,0.58%,0.84%,1.43%,Upgrade
