Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
Market Capitalization,325,385,521,477,475,538,572,479,437,396,321,236,265,266,477,417,420,455,557,620,606,572,433,434,374,372,277,213,182,172,192,-,-,-,-
Market Cap Growth,-,-28.48%,-8.93%,-0.55%,8.59%,35.97%,78.29%,103.24%,64.89%,48.90%,-32.73%,-43.47%,-36.83%,-41.58%,-14.37%,-32.68%,-30.75%,-20.42%,28.51%,42.72%,62.06%,53.65%,56.67%,103.69%,105.56%,115.86%,43.96%,-,-,-,-,-,-,-,-
Enterprise Value,467,527,698,651,600,642,464,464,442,397,174,472,539,605,771,729,754,619,828,"1,211","1,190",943,783,642,642,625,535,395,315,258,329,218,194,-,39
PE Ratio,6.17,7.08,9.03,8.43,8.93,10.15,10.90,8.80,-9.17,-6.47,-4.28,-3.05,11.34,8.60,18.64,16.37,16.52,19.75,15.54,20.54,24.23,23.35,20.98,25.86,26.14,34.47,29.50,18.60,15.84,15.45,18.97,-,-,-,-
PS Ratio,1.64,1.94,2.62,2.42,2.48,2.86,3.11,2.69,2.56,2.62,2.39,1.82,2.06,1.90,3.60,3.15,3.18,3.50,3.96,4.74,5.16,5.33,4.40,4.94,4.75,5.45,4.54,3.70,3.23,3.13,3.62,-,-,-,-
PB Ratio,0.76,0.91,1.27,1.21,1.11,1.19,1.14,1.15,1.06,1.00,0.79,0.59,0.55,0.56,1.00,0.89,0.92,1.00,1.22,1.40,1.40,1.50,1.16,1.49,1.31,1.33,1.07,1.32,1.15,1.11,1.15,-,-,-,-
Debt / Equity Ratio,0.92,0.92,0.69,0.83,0.53,0.43,0.30,0.30,0.35,0.35,0.33,0.75,0.94,1.01,0.80,1.03,1.12,0.73,1.02,1.47,1.46,1.09,1.07,0.81,1.02,1.03,1.14,1.26,1.14,0.84,1.16,1.91,1.75,-,0.60
Dividend Yield,1.81%,0.41%,0.31%,0.34%,0.27%,0.25%,0.24%,0.24%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,11.20%,12.80%,13.70%,10.60%,8.40%,8.50%,14.00%,9.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,5.17%,5.17%,5.42%,-12.04%,-13.55%,-15.31%,-13.45%,5.62%,5.69%,6.26%,3.81%,2.22%,3.44%,2.47%,2.22%,1.42%,-7.74%,-8.20%,-29.09%,-29.34%,-19.71%,-24.66%,-48.84%,-48.51%,-48.53%,-42.68%,-0.09%,-22.51%,-22.47%,-,-,-,-,-,-
Total Shareholder Return,6.99%,5.59%,5.72%,-11.70%,-13.27%,-15.06%,-13.21%,5.86%,5.69%,6.26%,3.81%,2.22%,3.44%,2.47%,2.22%,1.42%,-7.74%,-8.20%,-29.09%,-29.34%,-19.71%,-24.66%,-48.84%,-48.51%,-48.53%,-42.68%,-0.09%,-22.51%,-22.47%,-,-,-,-,-,-
