Metrics,Current,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-09-30,2016-12-31
Market Capitalization,7,4,13,19,49,42,51,69,44,111,392,-,-,-,-
Market Cap Growth,-,-91.62%,-75.28%,-72.36%,12.14%,-62.06%,-86.94%,-,-,-,-,-,-,-,-
Enterprise Value,9,5,-4,32,43,34,25,54,-7,38,316,-24,7,-,-1
PE Ratio,-0.13,-0.13,-0.46,-1.20,-1.40,-0.94,-0.33,-0.53,-,7.37,1248.82,-,-,-,-
PS Ratio,0.73,0.33,0.70,0.71,1.47,0.73,0.45,0.38,-,0.44,1.69,-,-,-,-
PB Ratio,-0.04,-0.04,-0.17,-0.32,-2.00,-2.32,3.63,2.55,0.25,0.66,2.56,-,-,-,-
Debt / Equity Ratio,-0.64,-0.64,-0.53,-1.08,-2.60,-4.65,4.23,4.77,0.50,0.82,0.90,-1.54,-31.08,-,-41.53
Current Ratio,0.74,0.74,0.90,1.30,1.45,1.38,0.82,1.07,1.86,1.65,1.73,1.48,1.10,-,0.92
Buyback Yield / Dilution,-0.93%,-0.93%,-1.24%,-0.86%,-6.43%,-8.12%,-193.18%,-310.77%,-416.96%,-333.02%,-76.44%,-,-,-,-
Total Shareholder Return,-0.93%,-0.93%,-1.24%,-0.86%,-6.43%,-8.12%,-193.18%,-310.77%,-416.96%,-333.02%,-76.44%,-,-,-,-
