Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+15 Quarters
Market Capitalization,"2,214","2,317","2,249","2,117","2,215","2,599","2,625","2,674","2,594","2,445","2,365","2,215","1,559","1,681","2,448","1,144","1,078","1,080",992,"1,125","1,096","1,069","1,084","1,119","1,097","1,098","1,013",985,931,889,853,819,848,828,845,751,832,773,827,689,591,Upgrade
Market Cap Growth,-,-10.83%,-14.33%,-20.82%,-14.62%,6.28%,11.00%,20.76%,66.41%,45.50%,-3.40%,93.60%,44.55%,55.56%,146.76%,1.67%,-1.56%,1.08%,-8.50%,0.55%,-0.11%,-2.67%,7.09%,13.57%,17.84%,23.47%,18.69%,20.28%,9.72%,7.43%,0.98%,9.12%,1.92%,7.11%,2.14%,8.89%,40.91%,41.41%,81.09%,68.95%,52.68%,Upgrade
Enterprise Value,"5,186","5,288","5,174","5,020","5,234","5,393","5,151","4,981","4,472","4,324","4,412","4,047","3,444","3,919","4,641","3,180","2,015","2,051","1,928","1,922","1,906","1,852","1,832","1,833","1,930","1,913","1,826","1,755","1,725","1,681","1,555","1,528","1,615","1,525","1,518","1,368","1,435","1,309","1,347","1,056",960,Upgrade
PE Ratio,20.67,21.54,19.40,13.80,10.21,9.14,8.50,7.86,7.14,5.79,23.13,40.36,-13.70,-7.10,244.09,-61.57,15.12,14.63,12.54,13.73,12.38,12.30,12.81,13.60,14.45,14.82,14.99,14.24,12.83,12.26,11.19,11.57,11.86,11.91,12.86,11.48,14.48,14.35,15.90,14.82,13.75,Upgrade
PS Ratio,4.44,4.64,5.13,5.46,6.34,7.89,8.21,8.71,8.70,8.28,8.03,7.41,5.65,6.87,11.58,6.64,6.59,6.75,6.40,7.39,7.47,7.44,7.73,8.12,7.99,8.19,7.72,7.71,7.33,7.10,6.94,6.83,7.25,7.22,7.58,6.85,8.19,8.06,9.11,8.23,7.65,Upgrade
PB Ratio,0.88,0.93,0.90,0.83,0.86,0.99,1.01,1.03,1.02,0.98,0.97,0.92,0.66,0.86,1.10,0.52,1.11,1.12,1.03,1.16,1.13,1.11,1.13,1.17,1.16,1.21,1.16,1.12,1.14,1.09,1.05,1.01,1.05,1.12,1.15,1.02,1.15,1.07,1.25,1.05,0.98,Upgrade
Debt / Equity Ratio,1.24,1.24,1.23,1.21,1.21,1.13,1.09,0.99,0.83,0.83,0.95,0.84,0.85,1.20,1.04,0.95,1.08,1.08,1.03,0.87,0.91,0.86,0.86,0.81,0.93,0.95,1.02,0.98,1.04,1.02,0.98,0.99,1.02,1.02,0.97,0.95,1.00,0.82,0.90,0.64,0.67,Upgrade
Dividend Yield,9.69%,2.43%,2.51%,2.42%,2.31%,1.97%,1.94%,1.83%,1.88%,1.98%,2.05%,2.19%,2.85%,2.71%,2.57%,2.09%,1.86%,1.79%,2.67%,1.93%,1.75%,1.79%,2.20%,1.70%,1.68%,1.61%,3.10%,1.74%,1.77%,1.85%,1.92%,2.00%,1.90%,1.82%,1.78%,2.01%,1.81%,1.81%,1.67%,1.87%,2.01%,Upgrade
Payout Ratio,200.00%,97.10%,220.00%,600.00%,333.30%,76.90%,81.10%,67.40%,59.20%,52.70%,51.80%,44.60%,31.20%,-19.90%,135.30%,-27.40%,103.20%,110.30%,141.90%,145.50%,88.90%,82.10%,111.10%,84.20%,91.40%,84.20%,167.60%,106.70%,91.40%,114.30%,80.00%,84.20%,88.90%,84.20%,100.00%,74.40%,91.40%,100.00%,94.10%,106.70%,94.10%,Upgrade
Buyback Yield / Dilution,0.02%,0.02%,-0.50%,-1.01%,-1.57%,-2.14%,-1.67%,-1.07%,-9.84%,-21.09%,-22.10%,-123.55%,-144.87%,-128.61%,-127.65%,-10.48%,-4.49%,-1.15%,-0.99%,-13.96%,-3.73%,-7.85%,-8.21%,-10.97%,-12.05%,-7.81%,-7.33%,-4.51%,-2.03%,-8.92%,-8.87%,-8.91%,-7.46%,-7.82%,-8.86%,-16.75%,-26.58%,-34.49%,-54.96%,-57.10%,-44.77%,Upgrade
Total Shareholder Return,9.70%,2.45%,2.01%,1.41%,0.74%,-0.17%,0.28%,0.77%,-7.96%,-19.10%,-20.05%,-121.36%,-142.02%,-125.90%,-125.07%,-8.38%,-2.63%,0.64%,1.67%,-12.03%,-1.98%,-6.06%,-6.01%,-9.27%,-10.36%,-6.19%,-4.23%,-2.76%,-0.25%,-7.07%,-6.95%,-6.91%,-5.56%,-5.99%,-7.08%,-14.74%,-24.78%,-32.68%,-53.28%,-55.23%,-42.76%,Upgrade
