Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-06-30
Market Capitalization,282,361,112,120,408,458,"1,485","2,116","3,147","4,807","3,375","3,292","4,120",-,-,-,-,-
Market Cap Growth,-,-21.04%,-92.47%,-94.33%,-87.04%,-90.48%,-55.98%,-35.72%,-23.62%,-,-,-,-,-,-,-,-,-
Enterprise Value,877,998,805,779,"1,012","1,005","2,042","2,437","3,366","4,941","3,484","3,299","4,063",352,-,-,25,19
PE Ratio,-3.07,-3.07,-0.83,-0.41,-1.37,-2.37,-9.87,27.52,25.20,33.31,25.41,40.14,51.83,-,-,-,-,-
PS Ratio,0.26,0.39,0.13,0.16,0.53,0.57,1.86,2.20,3.38,5.42,4.39,5.60,7.78,-,-,-,-,-
PB Ratio,0.61,0.92,0.29,0.34,1.04,0.92,3.02,3.34,4.72,7.17,5.32,6.04,7.55,-,-,-,-,-
Debt / Equity Ratio,1.86,1.86,1.91,2.05,1.90,1.50,1.52,0.80,0.76,0.75,0.56,0.65,0.57,6.87,-,-,0.10,0.11
Current Ratio,2.62,2.62,2.46,2.60,3.55,3.71,4.10,3.45,4.44,5.13,3.38,4.45,5.36,3.72,-,-,3.10,3.44
Buyback Yield / Dilution,-2.33%,-2.33%,-1.57%,-0.69%,0.76%,0.99%,0.96%,0.91%,-69.95%,-19.44%,-83.20%,-88.76%,25.60%,-13.24%,-,-,-,-
Total Shareholder Return,-2.33%,-2.33%,-1.57%,-0.69%,0.76%,0.99%,0.96%,0.91%,-69.95%,-19.44%,-83.20%,-88.76%,25.60%,-13.24%,-,-,-,-
