Metrics,Current,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-09-30,2019-06-30
Market Capitalization,7,36,34,52,77,34,44,146,143,112
Market Cap Growth,-,6.54%,-23.87%,-64.47%,-46.27%,-70.02%,-,-,-,-
Enterprise Value,-18,9,5,20,30,28,35,136,158,110
PE Ratio,-1.11,-1.11,-2.06,-6.35,-4.27,-13.04,5.85,17.71,-,-
PS Ratio,-14.41,-14.41,1.97,2.07,10.41,3.28,2.60,7.86,-,-
PB Ratio,0.31,1.24,0.92,0.94,1.80,3.61,4.58,20.24,31.63,5.57
Debt / Equity Ratio,0.19,0.19,0.04,0.00,-,0.12,0.06,0.21,4.61,-
Current Ratio,1.28,1.28,1.35,1.40,1.82,1.47,-,2.09,25.85,58.30
Buyback Yield / Dilution,-353.26%,-353.26%,-441.20%,-324.35%,-667.36%,-195.41%,-5.24%,-183.62%,-,-
Total Shareholder Return,-353.26%,-353.26%,-441.20%,-324.35%,-667.36%,-195.41%,-5.24%,-183.62%,-,-
