Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
Market Capitalization,259,327,387,407,433,469,466,471,453,381,324,215,220,183,306,289,266,256,254,198,216,218,236,220,199,214,246,183,-,-,-,-,-
Market Cap Growth,-,-30.29%,-16.98%,-13.61%,-4.42%,22.99%,44.02%,118.78%,106.17%,108.69%,5.90%,-25.54%,-17.36%,-28.66%,20.21%,46.02%,23.03%,17.54%,7.77%,-10.09%,8.52%,1.82%,-3.96%,20.50%,-,-,-,-,-,-,-,-,-
Enterprise Value,172,236,296,356,394,142,81,141,33,20,86,-201,-110,101,214,145,120,211,274,270,253,267,223,245,256,229,221,139,-,-,-51,-,-39
PE Ratio,7.74,9.39,9.92,9.88,9.37,9.70,9.58,10.26,11.25,11.08,13.11,10.53,11.32,9.61,13.63,17.74,19.72,22.76,26.34,18.93,19.26,49.88,157.18,50.75,98.23,27.25,27.00,22.11,-,-,-,-,-
PS Ratio,2.30,2.86,3.28,3.30,3.33,3.49,3.46,3.51,3.44,3.06,3.00,2.23,2.49,2.14,3.35,3.16,3.25,3.56,3.95,3.60,3.92,4.89,5.91,5.55,5.39,4.75,5.26,4.15,-,-,-,-,-
PB Ratio,0.74,0.92,1.09,1.17,1.21,1.27,1.23,1.27,1.26,1.11,0.94,0.64,0.78,0.66,1.12,1.08,1.01,0.99,1.00,1.26,1.41,1.46,1.61,1.53,1.44,1.53,1.77,1.32,-,-,-,-,-
Debt / Equity Ratio,0.24,0.24,0.13,0.43,0.21,0.08,0.08,0.08,0.08,0.09,0.11,0.12,0.14,0.04,0.04,0.04,0.04,0.29,0.49,0.79,0.62,0.67,0.48,0.66,0.76,0.53,0.40,0.22,-,-,0.45,-,0.34
Dividend Yield,3.33%,0.66%,0.57%,0.54%,0.51%,0.28%,0.29%,0.28%,0.29%,0.29%,0.34%,0.51%,0.42%,0.51%,0.30%,0.32%,0.35%,0.29%,0.23%,0.27%,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,25.20%,33.30%,21.30%,27.00%,22.20%,12.50%,10.70%,10.20%,10.90%,10.00%,11.10%,14.70%,14.70%,71.40%,17.20%,13.90%,15.20%,14.80%,-28.60%,13.30%,0.00%,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-
Buyback Yield / Dilution,2.96%,2.96%,1.34%,1.04%,0.56%,-0.81%,-1.05%,-1.17%,-21.17%,-19.70%,-19.25%,-18.50%,1.77%,2.06%,-27.36%,-41.32%,-42.73%,-45.12%,-11.91%,-2.85%,-2.57%,-1.50%,-1.10%,-18.06%,-19.33%,-20.92%,-22.66%,-3.76%,-2.67%,-,-,-,-
Total Shareholder Return,6.30%,3.62%,1.90%,1.58%,1.07%,-0.52%,-0.76%,-0.89%,-20.88%,-19.41%,-18.91%,-17.99%,2.19%,2.56%,-27.06%,-41.00%,-42.38%,-44.83%,-11.68%,-2.58%,-2.57%,-1.50%,-1.10%,-18.06%,-19.33%,-20.92%,-22.66%,-3.76%,-2.67%,-,-,-,-
