Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Market Capitalization,"2,216","2,739","2,654","2,819","3,580","4,495","4,043","3,262","3,344","3,774","2,523",-,-,-,-,-,-
Market Cap Growth,-,-39.06%,-34.35%,-13.58%,7.05%,19.11%,60.24%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"2,261","2,806","2,645","2,858","3,596","4,494","4,055","3,115","3,160","3,585","2,363",52,53,-,-,-,103
PE Ratio,-508.74,-508.74,53.19,19.96,18.47,23.67,24.19,31.28,53.39,152.24,-3193.75,-,-,-,-,-,-
PS Ratio,17.59,21.96,4.92,2.88,2.62,3.31,3.38,2.82,4.25,6.59,6.36,-,-,-,-,-,-
PB Ratio,2.92,3.64,3.49,3.52,4.38,5.80,5.91,10.70,13.41,25.81,21.10,-,-,-,-,-,-
Debt / Equity Ratio,0.28,0.28,0.18,0.18,0.16,0.18,0.28,0.25,-,-,-,1.06,0.66,-,-,-,1.12
Dividend Yield,3.69%,0.45%,0.46%,0.43%,0.27%,0.21%,0.08%,0.09%,0.07%,-,-,-,-,-,-,-,-
Payout Ratio,-441.20%,-181.80%,-41.70%,-111.10%,25.00%,17.90%,4.70%,6.50%,5.60%,0.00%,0.00%,-,-,-,-,-,-
Buyback Yield / Dilution,-1.15%,-1.15%,-33.76%,-42.58%,-82.43%,-87.99%,-57.02%,58.82%,67.39%,-,-,-,-,-,-,-,-
Total Shareholder Return,2.54%,-0.70%,-33.30%,-42.14%,-82.16%,-87.79%,-56.94%,58.92%,67.46%,-,-,-,-,-,-,-,-
