Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Market Capitalization,"2,246","1,958","1,283","1,327","1,696","2,916","4,816","5,603","4,680","3,940","4,573","3,164","2,729","1,620","1,539","1,791","1,734","1,012",954,"1,229",906,-,-,-,-,-,-
Market Cap Growth,-,-32.84%,-73.37%,-76.32%,-63.77%,-26.00%,5.31%,77.11%,71.45%,143.24%,197.23%,76.67%,57.37%,60.11%,61.32%,45.74%,91.54%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"2,312","2,095","1,417","1,469","1,846","3,073","4,961","5,752","4,778","4,027","4,666","3,226","2,757","1,654","1,570","1,826","1,773","1,041",983,"1,259",934,42,43,-,-,-,25
PE Ratio,403.64,714.34,2270.04,3902.27,707.39,823.13,891.39,707.15,654.06,435.49,492.45,556.62,799.27,1724.98,431.35,401.44,468.26,-157.26,-107.13,-136.64,-98.07,-,-,-,-,-,-
PS Ratio,9.62,8.66,6.13,6.90,9.62,18.07,31.83,38.45,34.39,30.82,39.08,32.90,31.99,21.66,19.86,22.84,23.67,14.73,15.86,21.72,17.65,-,-,-,-,-,-
PB Ratio,126.57,113.91,120.20,209.63,-426.35,-279.08,-343.52,-297.11,1368.77,-1677.25,-937.93,-260.72,2297.55,-209.98,-170.83,-218.50,22.70,13.18,-112.21,14.81,11.07,-,-,-,-,-,-
Debt / Equity Ratio,9.47,9.47,15.48,30.14,-46.31,-17.25,-12.48,-9.27,39.32,-50.72,-24.41,-6.87,70.52,-6.01,-5.13,-5.72,0.62,0.63,-5.70,0.59,0.59,-1.30,-1.18,-,-,-,-1.21
Current Ratio,1.50,1.50,1.46,1.95,1.95,1.68,1.66,1.66,2.20,2.34,2.49,2.78,5.84,2.22,1.99,1.79,1.81,1.29,2.92,3.21,3.60,1.82,1.34,-,-,-,1.75
Dividend Yield,-,-,-,-,-,-,0.62%,-,-,-,0.69%,-,-,-,-,-,0.62%,-,-,-,-,-,-,-,-,-,
Payout Ratio,0.00%,-,0.00%,0.00%,0.00%,0.00%,0.00%,776.20%,0.00%,0.00%,0.00%,604.70%,0.00%,0.00%,0.00%,0.00%,0.00%,241.20%,-,0.00%,0.00%,0.00%,-,-,-,0.00%,-
Buyback Yield / Dilution,-14.65%,-14.65%,-5.85%,-1.71%,-4.31%,-10.15%,-9.05%,-12.11%,-13.48%,-18.06%,-19.06%,-14.98%,-11.71%,-1.80%,-21.85%,-12.57%,-18.71%,59.40%,-0.46%,-,-,-,-,-,-,-,-
Total Shareholder Return,-14.65%,-14.65%,-5.85%,-1.71%,-4.31%,-10.15%,-9.05%,-11.50%,-13.48%,-18.06%,-19.06%,-14.29%,-11.71%,-1.80%,-21.85%,-12.57%,-18.71%,60.02%,-0.46%,-,-,-,-,-,-,-,-
