Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,105,141,159,160,162,165,175,147,143,130,116,100,117,-,-,-,-,-,-,-,-,-,-
Market Cap Growth,-,-14.87%,-9.06%,8.56%,13.87%,27.66%,51.16%,46.69%,21.82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,56,128,110,-32,-97,-123,-106,-141,-125,-118,-61,-19,36,13,17,-21,11,37,27,-,-,22,22
PE Ratio,7.70,9.49,11.69,14.70,17.18,19.62,23.61,20.85,26.02,29.76,20.42,18.20,18.93,-,-,-,-,-,-,-,-,-,-
PS Ratio,1.76,2.24,2.66,2.81,2.95,3.06,3.34,2.91,3.00,2.89,2.55,2.32,2.89,-,-,-,-,-,-,-,-,-,-
PB Ratio,0.76,1.00,1.15,1.20,1.21,1.22,1.25,1.06,1.05,0.97,0.86,0.74,0.87,-,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.56,0.56,0.66,0.43,0.43,0.42,0.41,0.42,0.44,0.48,0.78,1.26,1.25,0.73,0.86,0.78,0.80,1.01,0.86,-,-,0.84,0.84
Dividend Yield,2.48%,0.51%,0.45%,0.28%,0.28%,0.27%,0.26%,0.30%,0.31%,0.34%,0.38%,0.44%,0.38%,-,-,-,-,-,-,-,-,-,-
Payout Ratio,15.50%,21.10%,16.70%,10.90%,13.90%,20.80%,31.20%,16.70%,20.80%,41.70%,39.10%,39.70%,43.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-
Buyback Yield / Dilution,-0.59%,-0.13%,-0.59%,-0.99%,-1.33%,-1.33%,-0.26%,0.14%,0.45%,0.45%,-78.36%,-78.36%,-78.34%,-78.34%,-,-,-,-,-,-,-,-,-
Total Shareholder Return,1.89%,0.38%,-0.14%,-0.71%,-1.05%,-1.05%,-0.00%,0.44%,0.77%,0.80%,-77.98%,-77.92%,-77.96%,-78.34%,-,-,-,-,-,-,-,-,-
