Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
Market Capitalization,"5,669","5,716","5,311","7,693","4,896","6,655","13,747","25,490","21,534","5,956","3,593","2,970","1,057","1,151","1,224","1,179","2,066",-,-,-,-,-,-
Market Cap Growth,-,-14.12%,-61.37%,-69.82%,-77.26%,11.74%,282.66%,758.38%,1938.02%,417.28%,193.52%,151.80%,-48.87%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"-4,525","-4,567","-5,202","-4,261","-6,214","-3,482","7,429","21,759","15,681",-688,"3,131",-855,"-1,866",-549,-110,-249,666,"-1,330",-,-,-,-769,-430
PE Ratio,16.30,15.27,16.90,25.95,17.20,18.47,37.71,75.20,71.63,34.83,33.26,50.45,29.78,62.74,86.56,95.38,360.68,-,-,-,-,-,-
PS Ratio,5.91,5.87,6.01,8.98,5.83,7.30,16.01,33.45,33.26,13.94,11.43,13.20,6.22,8.46,9.76,9.69,18.53,-,-,-,-,-,-
PB Ratio,2.16,2.14,2.07,3.09,1.88,2.47,4.97,9.46,17.61,5.56,4.88,7.80,3.03,3.52,3.83,3.73,6.73,-,-,-,-,-,-
Debt / Equity Ratio,0.13,0.13,0.33,0.23,0.25,0.53,0.61,1.69,2.56,1.34,5.38,0.76,0.54,0.64,0.53,0.33,0.57,-10.49,-,-,-,-6.62,-1.02
Current Ratio,1.27,1.27,1.24,1.20,1.23,1.25,-,-,-,1.13,-,-,-,-,-,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,5.63%,9.12%,8.74%,6.48%,-2.56%,-11.75%,-18.02%,-21.11%,-14.95%,-10.28%,-4.92%,-22.69%,-56.13%,-93.46%,-98.00%,-62.73%,-27.19%,-,-,-,-,-,-
Total Shareholder Return,5.63%,9.12%,8.74%,6.48%,-2.56%,-11.75%,-18.02%,-21.11%,-14.95%,-10.28%,-4.92%,-22.69%,-56.13%,-93.46%,-98.00%,-62.73%,-27.19%,-,-,-,-,-,-
