Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Market Capitalization,114,121,153,159,167,210,199,197,192,177,182,143,152,138,216,189,-,-,-,-,-,-,-
Market Cap Growth,-,-42.24%,-23.05%,-19.26%,-12.94%,18.68%,9.77%,37.33%,26.26%,28.28%,-15.85%,-24.37%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,282,288,318,327,333,373,357,379,364,282,303,303,222,293,330,289,-45,115,122,-,-,-,88
PE Ratio,8.44,9.44,11.84,12.82,13.58,18.11,17.89,17.94,18.45,17.48,18.14,-28.33,-14.03,-10.61,-15.33,-2613.27,-,-,-,-,-,-,-
PS Ratio,2.52,2.65,3.34,3.51,3.77,4.88,4.72,4.80,4.86,4.66,4.98,4.15,4.51,4.21,6.82,5.89,-,-,-,-,-,-,-
PB Ratio,0.85,0.89,1.15,1.27,1.20,1.34,1.11,1.10,1.05,0.93,0.94,0.75,0.78,0.71,1.15,0.95,-,-,-,-,-,-,-
Debt / Equity Ratio,1.35,1.35,1.36,1.50,1.30,1.16,1.00,1.13,1.04,0.90,0.88,0.92,0.92,0.95,0.82,0.71,1.73,1.64,1.59,-,-,-,1.28
Dividend Yield,4.39%,1.35%,0.77%,0.74%,0.72%,0.59%,0.44%,0.44%,3.83%,0.52%,0.37%,0.47%,0.44%,-,-,-,-,-,-,-,-,-,-
Payout Ratio,36.70%,51.90%,32.30%,33.30%,31.20%,37.00%,29.20%,25.00%,237.50%,31.80%,22.70%,23.80%,25.00%,0.00%,0.00%,0.00%,-,-,-,-,-,-,-
Buyback Yield / Dilution,4.98%,4.98%,5.06%,5.28%,7.21%,5.67%,6.58%,7.78%,4.75%,3.51%,1.68%,-,-3.84%,-3.84%,-3.84%,-,-,-,-,-,-,-,-
Total Shareholder Return,9.44%,6.33%,5.83%,6.03%,7.93%,6.25%,7.01%,8.22%,8.58%,4.02%,2.05%,0.47%,-3.39%,-3.84%,-3.84%,-,-,-,-,-,-,-,-
