Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Market Capitalization,"2,562","1,740","1,799","1,619","1,731","1,508","1,798","1,933","1,756","1,612","1,791","1,457","1,236",992,"1,042",941,961,952,862,"1,075","1,092",945,848,710,745,650,556,490,413,432,508
Market Cap Growth,-,15.38%,0.06%,-16.28%,-1.43%,-6.46%,0.40%,32.73%,42.10%,62.58%,71.88%,54.88%,28.57%,4.18%,20.80%,-12.52%,-11.93%,0.71%,1.72%,51.50%,46.52%,45.44%,52.53%,44.84%,80.28%,50.38%,9.38%,-,-,-,-
Enterprise Value,"2,570","1,777","1,761","1,564","1,728","1,607","1,755","1,835","1,786","1,680","1,664","1,492","1,293","1,079","1,030","1,009","1,063","1,089",786,909,996,889,702,607,684,576,404,333,310,345,425
PE Ratio,19.98,21.17,19.87,16.05,17.10,14.34,16.93,16.47,13.85,12.86,15.24,16.51,19.26,20.95,35.24,46.58,45.96,41.32,31.74,-60.69,-49.80,-32.98,-26.05,60.99,-525.38,-332.20,-183.24,-23.37,13.49,18.05,67.09
PS Ratio,2.59,1.78,1.75,1.53,1.69,1.46,1.81,1.93,1.65,1.52,1.70,1.49,1.45,1.26,1.45,1.46,1.58,1.66,1.49,1.81,2.05,1.85,1.70,1.47,1.42,1.29,1.11,1.14,0.91,0.98,1.25
PB Ratio,15.90,10.92,9.72,10.92,14.34,11.62,14.95,24.83,12.28,9.93,11.61,9.40,9.85,12.32,33.19,171.75,51.75,-7.64,-32.60,-6.98,-6.74,-5.94,-5.39,-5.17,-4.98,-10.47,-64.95,-210.37,4.84,-21.21,15.84
Debt / Equity Ratio,0.82,0.82,0.73,0.91,1.19,1.35,1.31,2.09,1.18,1.03,1.12,1.12,1.37,2.18,6.51,32.25,10.01,-1.54,-1.13,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Yield,1.56%,0.39%,0.37%,0.41%,0.38%,0.44%,7.16%,0.11%,0.12%,0.13%,0.12%,0.09%,0.10%,0.20%,0.12%,0.13%,0.13%,0.21%,0.14%,0.11%,0.11%,0.13%,0.11%,0.16%,0.13%,0.14%,0.16%,0.19%,0.22%,0.21%,-
Payout Ratio,30.60%,36.20%,25.50%,29.80%,32.90%,24.30%,217.90%,5.80%,5.40%,4.70%,2.70%,4.00%,5.70%,6.40%,7.10%,17.90%,25.00%,100.00%,15.60%,14.70%,16.70%,18.50%,-2.50%,29.40%,500.00%,71.40%,13.90%,-9.40%,-250.00%,500.00%,0.00%
Buyback Yield / Dilution,-1.38%,-1.38%,36.07%,36.87%,37.24%,38.05%,2.17%,-60.09%,-65.33%,-6.21%,-72.61%,-5.08%,-3.62%,-0.83%,-0.45%,-3.57%,-1.60%,-67.54%,-31.90%,-5.21%,-28.47%,-29.27%,-2.91%,-25.10%,-3.07%,-1.19%,-12.35%,3.15%,-1.66%,-1.64%,9.39%
Total Shareholder Return,0.19%,-0.99%,36.44%,37.28%,37.62%,38.49%,9.33%,-59.98%,-65.21%,-6.08%,-72.48%,-4.99%,-3.52%,-0.63%,-0.33%,-3.44%,-1.47%,-67.33%,-31.75%,-5.10%,-28.36%,-29.14%,-2.80%,-24.94%,-2.94%,-1.05%,-12.18%,3.34%,-1.44%,-1.43%,9.39%
