Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Market Capitalization,37,46,51,51,54,62,47,51,-,-,-,-,-,-,-
Market Cap Growth,-,-25.47%,8.70%,-1.15%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,87,99,102,76,54,58,37,26,-33,-10,9,-,-,-,7
PE Ratio,85.50,133.19,28.85,30.98,59.95,92.71,89.88,255.73,-,-,-,-,-,-,-
PS Ratio,3.28,4.37,4.24,4.40,4.96,5.95,4.62,5.31,-,-,-,-,-,-,-
PB Ratio,0.62,0.83,0.91,0.91,0.95,1.07,0.77,0.84,-,-,-,-,-,-,-
Debt / Equity Ratio,1.12,1.12,1.12,0.63,0.47,0.47,0.46,0.46,0.94,0.95,0.96,-,-,-,1.00
Dividend Yield,0.19%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,-2.61%,-2.61%,-1.65%,-1.00%,7.43%,7.60%,7.62%,-,-,-,-,-,-,-,-
Total Shareholder Return,-2.41%,-2.61%,-1.65%,-1.00%,7.43%,7.60%,7.62%,-,-,-,-,-,-,-,-
