Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Market Capitalization,187,222,281,228,208,226,231,241,235,231,202,150,151,153,248,229,249,233,185,231,276,224,196,231,186,165,144,109,104,88,87,77,71,75,75,74,74,75,68,63,59,Upgrade
Market Cap Growth,-,-1.49%,21.52%,-5.52%,-11.70%,-2.52%,14.71%,61.39%,55.42%,51.21%,-18.71%,-34.78%,-39.27%,-34.22%,33.91%,-0.72%,-9.75%,3.71%,-5.22%,0.18%,48.64%,36.32%,36.15%,110.98%,78.51%,86.09%,65.46%,42.31%,47.21%,17.82%,16.11%,3.43%,-4.83%,-0.50%,10.26%,17.13%,25.19%,30.40%,38.67%,50.00%,66.73%,Upgrade
Enterprise Value,46,82,58,-87,-212,-265,-320,-331,-261,-189,-136,-152,-108,-2,132,86,78,58,24,82,119,55,29,82,53,46,38,30,60,23,38,30,40,38,49,47,55,50,47,14,22,Upgrade
PE Ratio,7.02,8.24,10.98,9.66,9.20,9.46,8.98,8.75,8.42,8.54,8.10,6.16,6.24,6.38,9.90,9.55,11.27,11.31,9.90,13.82,17.35,14.22,13.36,16.28,14.02,14.28,13.33,10.77,9.99,8.82,9.55,9.26,10.12,11.99,12.53,13.16,15.82,19.15,17.04,15.78,14.11,Upgrade
PS Ratio,2.48,2.95,3.91,3.35,3.16,3.41,3.43,3.50,3.40,3.40,3.09,2.32,2.35,2.37,3.73,3.50,4.01,3.97,3.39,4.48,5.48,4.40,3.93,4.73,3.92,3.71,3.34,2.62,2.48,2.15,2.19,2.00,1.97,2.15,2.16,2.16,2.16,2.27,2.06,1.91,1.83,Upgrade
PB Ratio,0.82,0.98,1.26,1.04,0.97,1.06,1.10,1.17,1.16,1.17,1.04,0.80,0.83,0.86,1.41,1.34,1.50,1.43,1.18,1.85,2.28,1.90,1.71,2.08,1.71,1.57,1.44,1.13,1.10,0.96,0.95,0.86,0.81,0.88,0.89,0.90,0.91,0.94,0.86,0.71,0.67,Upgrade
Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.04,0.06,0.06,0.07,0.07,0.07,0.02,-,-,-,-,-,-,-,-,-,-,0.29,0.30,0.31,0.48,0.49,0.49,0.50,0.52,0.53,0.53,0.54,0.55,0.56,0.57,0.50,0.50,Upgrade
Dividend Yield,4.40%,0.86%,0.95%,0.80%,0.88%,0.82%,0.77%,1.07%,0.76%,1.13%,0.83%,1.11%,1.11%,1.11%,0.85%,0.55%,0.85%,0.55%,1.05%,0.42%,0.63%,0.44%,0.42%,0.61%,0.44%,0.49%,0.45%,0.57%,0.55%,0.64%,0.98%,0.64%,0.60%,0.57%,0.47%,0.47%,0.38%,0.37%,0.31%,0.33%,0.35%,Upgrade
Payout Ratio,30.40%,28.40%,35.20%,25.90%,31.90%,34.40%,31.80%,43.10%,25.00%,35.60%,22.70%,26.30%,26.70%,32.80%,31.20%,19.70%,35.20%,20.30%,33.80%,21.70%,38.30%,22.40%,22.40%,38.00%,18.60%,25.00%,19.60%,23.10%,21.60%,22.90%,32.40%,16.30%,19.40%,28.60%,20.00%,20.80%,19.00%,23.50%,15.00%,30.00%,30.00%,Upgrade
Buyback Yield / Dilution,1.40%,1.40%,1.54%,1.25%,1.36%,0.27%,-0.43%,-0.52%,-1.03%,0.14%,0.73%,0.36%,1.22%,0.09%,-0.20%,-12.78%,-12.57%,-12.68%,-12.65%,-0.50%,-1.39%,-1.80%,-3.77%,-6.03%,-4.51%,-4.23%,-2.14%,1.60%,-0.57%,-0.12%,-0.29%,-0.11%,-0.53%,-0.54%,-1.22%,-0.01%,-1.90%,-2.10%,-2.31%,-,-1.80%,Upgrade
Total Shareholder Return,5.80%,2.25%,2.49%,2.04%,2.25%,1.09%,0.34%,0.55%,-0.28%,1.27%,1.57%,1.47%,2.33%,1.20%,0.65%,-12.23%,-11.72%,-12.13%,-11.60%,-0.09%,-0.76%,-1.36%,-3.35%,-5.42%,-4.07%,-3.73%,-1.69%,2.17%,-0.02%,0.52%,0.69%,0.53%,0.07%,0.03%,-0.75%,0.46%,-1.52%,-1.72%,-2.00%,0.33%,-1.45%,Upgrade
