Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Market Capitalization,"13,994","15,591","46,587","40,589","14,012","17,737","20,348","20,539","13,524",340,391,-
Market Cap Growth,-,-12.10%,128.96%,97.62%,3.60%,5122.53%,5101.50%,-,-,-,-,-
Enterprise Value,"16,031","17,579","48,383","42,313","15,466","19,054","21,568","21,152","13,829",340,736,0
PE Ratio,332.67,1437.88,-5015.28,-3758.58,-211.71,-41.50,-54.09,-48.22,-35.47,-10.83,-5.03,-
PS Ratio,9.46,10.50,34.01,32.14,12.30,17.89,24.70,32.02,30.22,1.10,1.57,-
PB Ratio,8.83,9.81,29.03,24.53,8.64,10.97,12.23,3.96,3.09,-,-0.78,-
Debt / Equity Ratio,1.27,1.27,1.16,1.07,0.93,0.93,0.76,0.15,0.17,-,-0.71,2.86
Current Ratio,-,-,-,-,-,-,-,-,-,-,8.99,-
Dividend Yield,4.63%,-,0.12%,0.12%,0.30%,0.24%,0.58%,0.13%,-,-,-,-
Payout Ratio,1100.00%,0.00%,1200.00%,-,-,-333.30%,128.60%,-50.00%,0.00%,-,-,-
Buyback Yield / Dilution,-9.37%,-10.74%,65.62%,-30.44%,-28.44%,-1113.41%,-1133.28%,-4823.24%,-,-,-,-
Total Shareholder Return,-4.76%,-10.74%,65.73%,-30.32%,-28.14%,-1113.17%,-1132.70%,-4823.10%,-,-,-,-
