Metrics,Current,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2015-09-30,2015-06-30,2015-03-31,2014-12-31
Market Capitalization,645,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,740,94,147,127,106,88,65,67,72,93,95,-0,-40,-,-64
PS Ratio,29.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PB Ratio,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EV/Sales Ratio,33.82,0,0,0,0,0,0,0,0,0,0,-0.02,-3.94,-,-11.26
EV/EBITDA Ratio,14.16,0,0,0,0,0,0,0,0,0,0,0.00,-5.95,-,-2.91
EV/FCF Ratio,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,-15.40
Debt / Equity Ratio,0.52,0.52,0.48,0.46,0.54,0.42,0.68,0.57,0.59,0.66,0.61,0.25,0.33,0,0.14
Current Ratio,3.38,3.38,8.01,1.99,4.51,4.49,2.40,0,1.87,0,1.63,0,0,0,0
Asset Turnover,-,-,-,-,-,-,-,0,-,0,0.04,0.03,0,0.02,
Return on Equity (ROE),-,-,-,-,-,-,-,0.00%,-,0.00%,-31.06%,2.49%,0.00%,-6.02%,
Return on Assets (ROA),-,-,-,-,-,-,-,0.00%,-,0.00%,-24.79%,1.87%,0.00%,-5.29%,
Return on Capital (ROIC),-,-,-,-,-,-,-,-,-,-,6.58%,2.63%,0.00%,27.50%,
Earnings Yield,-9.52%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Yield,22.27%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Total Shareholder Return,22.25%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
