Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
Market Capitalization,421,320,302,410,482,712,"1,084","2,250","1,841","1,223","1,248","1,934","1,589","2,482","1,780","1,962","1,831","1,230","1,649","2,028","2,376","2,278",-,-,-,-,-
Market Cap Growth,-,-55.04%,-72.12%,-81.78%,-73.83%,-41.78%,-13.13%,16.36%,15.83%,-50.74%,-29.89%,-1.44%,-13.19%,101.85%,7.94%,-3.26%,-22.95%,-46.00%,-,-,-,-,-,-,-,-,-
Enterprise Value,220,121,143,230,322,390,"1,085","2,290","1,933","1,303","1,213","1,912","1,649","2,565","1,650","1,712","1,423",895,"1,503","1,934","2,410","2,174",116,-,-,92,20
PE Ratio,4.02,2.72,2.81,2.55,1.81,1.95,2.70,6.22,6.09,13.44,14.09,13.97,9.33,7.57,5.13,6.19,5.52,4.30,8.63,15.35,72.62,579.67,-,-,-,-,-
PS Ratio,0.30,0.23,0.24,0.30,0.30,0.40,0.57,1.18,1.00,0.69,0.72,1.16,0.98,1.64,1.32,1.65,1.58,1.12,1.59,2.00,2.51,2.70,-,-,-,-,-
PB Ratio,0.34,0.26,0.26,0.34,0.38,0.56,0.90,2.05,1.92,1.46,1.73,3.03,2.74,2.63,2.10,2.58,2.60,2.07,4.01,5.46,7.79,8.86,-,-,-,-,-
Debt / Equity Ratio,1.05,1.05,1.13,1.08,0.95,0.93,0.97,1.10,1.35,1.69,2.03,2.23,2.26,1.25,1.12,0.81,0.89,1.28,2.55,4.23,6.98,6.38,-23.80,-,-,-12.69,-7.69
Current Ratio,1.43,1.43,1.47,1.80,1.82,1.64,1.63,1.54,1.41,1.37,1.32,1.27,1.23,1.68,1.71,1.46,1.45,1.29,1.11,1.01,0.97,0.99,0.90,-,-,0.95,0.94
Buyback Yield / Dilution,5.36%,5.63%,7.89%,3.49%,10.26%,-0.58%,-0.79%,-1.64%,-14.06%,-0.62%,-11.11%,-13.00%,-0.51%,-13.39%,-0.77%,-0.27%,-0.06%,-139.78%,-163.03%,-227.31%,-165.40%,-35.81%,-,-,-,-,-
Total Shareholder Return,5.36%,5.63%,7.89%,3.49%,10.26%,-0.58%,-0.79%,-1.64%,-14.06%,-0.62%,-11.11%,-13.00%,-0.51%,-13.39%,-0.77%,-0.27%,-0.06%,-139.78%,-163.03%,-227.31%,-165.40%,-35.81%,-,-,-,-,-
