Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30
Market Capitalization,"4,291","4,413","3,896","3,365","3,945","5,920","7,154","7,123","6,689","5,369","5,898","3,993","3,913","2,864","4,584","4,304","4,176","4,906","4,116","5,403","6,158","6,631","7,668","6,982","6,635"
Market Cap Growth,-,-25.45%,-45.54%,-52.77%,-41.03%,10.27%,21.31%,78.38%,70.95%,87.42%,28.65%,-7.23%,-6.31%,-41.62%,11.38%,-20.33%,-32.19%,-26.01%,-46.32%,-22.62%,-7.19%,-,-,-,-
Enterprise Value,"2,896","3,007","2,431","2,129","2,063","4,752","5,644","5,799","5,537","4,402","4,620","2,932","2,496","1,578","2,925","3,263","3,205","3,917","2,944","4,312","5,120","5,577","6,552","5,975","5,732"
PE Ratio,12.19,12.47,10.46,7.69,7.49,10.38,11.54,11.04,11.79,10.08,45.26,46.01,48.91,33.12,10.72,10.19,9.91,10.84,7.86,6.08,7.02,8.52,11.70,31.51,37.81
PS Ratio,2.07,2.12,1.77,1.41,1.54,2.16,2.59,2.61,2.57,2.25,2.57,1.78,1.77,1.29,2.09,2.02,1.91,2.19,1.78,2.27,2.60,3.05,4.22,4.79,5.84
PB Ratio,0.98,1.01,0.89,0.79,0.91,1.32,1.55,1.53,1.45,1.18,1.25,0.88,0.89,0.66,0.94,0.91,0.87,1.01,0.85,1.11,1.26,1.36,1.59,1.58,1.53
Debt / Equity Ratio,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.09,0.10
Current Ratio,3.98,3.98,3.63,3.07,4.85,3.18,3.07,2.98,2.98,2.72,3.01,2.87,3.18,3.25,3.35,2.64,2.93,2.74,2.77,2.90,3.05,2.66,2.23,2.38,2.17
Dividend Yield,6.02%,1.46%,1.66%,1.92%,1.66%,1.09%,0.91%,0.92%,0.98%,1.16%,1.11%,1.66%,1.70%,2.35%,1.47%,1.60%,1.68%,1.44%,1.74%,1.34%,1.17%,0.97%,0.84%,0.92%,-
Payout Ratio,73.20%,73.60%,100.00%,60.00%,69.60%,61.30%,48.70%,33.00%,47.50%,40.90%,42.90%,55.40%,65.50%,-26.70%,61.00%,62.10%,64.30%,75.00%,66.70%,65.50%,51.40%,39.00%,11.60%,65.30%,0.00%
Buyback Yield / Dilution,2.00%,2.00%,2.89%,3.88%,2.65%,1.92%,5.97%,6.26%,6.79%,7.82%,3.24%,4.07%,5.25%,4.80%,5.61%,4.37%,2.62%,1.99%,0.88%,-,-,-,-,-,-
Total Shareholder Return,8.01%,3.47%,4.55%,5.80%,4.31%,3.00%,6.87%,7.18%,7.77%,8.98%,4.35%,5.72%,6.95%,7.15%,7.08%,5.97%,4.30%,3.43%,2.62%,1.34%,1.17%,0.97%,0.84%,0.92%,-
