Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Market Capitalization,433,527,607,623,646,693,715,716,714,714,534,452,517,476,700,668,712,651,561,677,712,691,654,677,666,682,686,491,431,431,450,301,288,296,296,260,288,309,320,311,271,Upgrade
Market Cap Growth,-,-23.97%,-15.09%,-13.00%,-9.53%,-2.85%,33.99%,58.35%,38.16%,49.81%,-23.73%,-32.25%,-27.45%,-26.77%,24.83%,-1.35%,0.06%,-5.91%,-14.24%,-0.05%,6.90%,1.32%,-4.76%,37.93%,54.29%,58.29%,52.56%,63.01%,49.79%,45.64%,52.16%,15.91%,0.16%,-4.34%,-7.58%,-16.59%,6.18%,22.69%,23.60%,10.35%,-3.75%,Upgrade
Enterprise Value,888,982,841,"1,006",985,836,750,592,825,591,635,400,691,843,962,872,936,836,835,"1,058","1,256","1,189","1,162","1,196","1,214","1,161","1,198",951,"1,025","1,018",943,798,797,791,812,742,801,799,799,602,674,Upgrade
PE Ratio,7.59,9.19,9.88,9.96,10.26,10.50,10.36,10.12,9.78,10.86,8.97,8.01,9.54,8.44,12.23,11.93,12.83,11.93,10.56,18.84,21.43,22.15,22.96,15.91,15.81,16.44,17.13,15.91,16.34,17.97,21.47,11.88,11.37,12.10,12.03,11.34,12.60,13.55,14.04,13.82,12.08,Upgrade
PS Ratio,2.42,2.95,3.30,3.36,3.49,3.69,3.76,3.73,3.69,3.91,3.06,2.68,3.14,2.84,4.19,4.07,4.38,4.06,3.55,4.34,4.62,4.51,4.33,4.52,4.46,4.60,4.66,3.43,3.28,3.54,4.02,2.92,2.84,2.96,3.01,2.59,2.87,3.09,3.16,3.14,2.79,Upgrade
PB Ratio,0.93,1.13,1.35,1.45,1.45,1.44,1.32,1.31,1.31,1.34,1.01,0.87,1.02,0.97,1.48,1.42,1.52,1.43,1.29,1.62,1.74,1.71,1.62,1.63,1.64,1.72,1.75,1.25,1.12,1.15,1.24,1.16,1.13,1.18,1.21,1.08,1.21,1.34,1.38,1.34,1.18,Upgrade
Debt / Equity Ratio,1.14,1.14,0.69,1.08,0.93,0.58,0.47,0.47,0.39,0.46,0.47,0.57,0.65,0.85,0.71,0.73,0.66,0.72,0.78,1.15,1.61,1.54,1.52,1.47,1.58,1.40,1.53,1.42,1.79,1.76,1.58,2.17,2.22,2.17,2.35,2.26,2.38,2.34,2.29,1.50,1.95,Upgrade
Dividend Yield,5.53%,1.17%,0.96%,0.94%,0.91%,0.86%,0.75%,0.75%,0.76%,0.69%,0.93%,1.09%,0.96%,1.05%,0.65%,0.69%,0.66%,0.72%,0.84%,0.69%,0.55%,0.56%,0.55%,0.53%,0.54%,0.52%,0.45%,0.63%,0.72%,0.72%,0.54%,0.75%,0.78%,0.76%,0.68%,0.77%,0.70%,0.66%,0.65%,0.66%,0.76%,Upgrade
Payout Ratio,41.40%,48.30%,38.10%,41.20%,39.20%,35.10%,32.40%,36.70%,29.80%,25.00%,27.00%,29.50%,45.20%,37.10%,30.00%,31.90%,35.30%,33.00%,33.30%,33.30%,32.10%,30.50%,-115.00%,31.90%,34.80%,35.40%,28.20%,28.60%,32.30%,35.70%,2000.00%,34.50%,30.90%,40.00%,33.10%,31.00%,31.70%,35.50%,46.50%,32.50%,32.50%,Upgrade
Buyback Yield / Dilution,1.29%,1.29%,1.86%,2.16%,2.02%,1.15%,0.44%,0.01%,-0.07%,1.01%,1.86%,2.48%,3.61%,3.11%,2.53%,1.64%,0.45%,-0.20%,-0.18%,-0.32%,-0.28%,-0.22%,-0.30%,-0.53%,-0.62%,-0.71%,-28.92%,-38.26%,-38.30%,-38.27%,-8.13%,-0.50%,-0.22%,1.30%,2.78%,2.95%,2.63%,1.20%,-0.28%,-0.35%,0.46%,Upgrade
Total Shareholder Return,6.82%,2.45%,2.83%,3.10%,2.93%,2.00%,1.18%,0.77%,0.69%,1.70%,2.78%,3.57%,4.57%,4.16%,3.19%,2.33%,1.10%,0.52%,0.66%,0.37%,0.27%,0.34%,0.25%,0.00%,-0.08%,-0.18%,-28.47%,-37.63%,-37.58%,-37.55%,-7.59%,0.24%,0.55%,2.05%,3.46%,3.73%,3.33%,1.86%,0.36%,0.31%,1.22%,Upgrade
