Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-30,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Market Capitalization,135,129,254,280,289,333,290,299,274,233,152,153,168,243,231,269,218,209,279,252,256,255,223,217,202,170,148,146,126,123,118,-,-,-,-,-,-,-
Market Cap Growth,-,-61.31%,-12.54%,-6.49%,5.65%,43.03%,91.11%,95.35%,63.09%,-3.91%,-34.39%,-43.18%,-23.00%,16.14%,-17.05%,6.80%,-14.71%,-17.98%,24.99%,16.29%,26.42%,49.78%,50.50%,48.10%,60.91%,37.80%,25.91%,-,-,-,-,-,-,-,-,-,-,-
Enterprise Value,182,179,182,221,91,198,117,177,159,167,182,161,263,212,226,327,278,248,283,244,279,234,284,265,224,209,167,168,139,160,109,-36,25,30,-,-,-,26
PE Ratio,-6.01,-6.01,-12.32,14.11,16.66,20.66,17.20,19.98,18.19,19.45,14.82,14.52,17.10,22.45,20.84,27.89,22.90,22.40,33.87,28.27,31.42,32.17,28.22,31.47,30.39,26.82,24.60,33.68,30.10,33.75,38.15,-,-,-,-,-,-,-
PS Ratio,5.30,5.21,13.00,3.89,4.34,5.32,4.70,5.09,4.75,4.45,3.17,3.40,3.96,5.75,5.57,6.86,5.64,5.50,6.91,6.09,6.41,6.52,6.52,6.78,6.52,5.70,5.09,5.22,4.60,4.70,4.66,-,-,-,-,-,-,-
PB Ratio,0.63,0.62,1.24,1.17,1.22,1.43,1.25,1.29,1.17,0.99,0.63,0.65,0.72,1.05,1.70,2.05,1.70,1.66,2.28,2.10,2.18,2.20,1.92,1.90,1.82,1.56,1.37,1.37,1.21,1.22,1.01,-,-,-,-,-,-,-
Debt / Equity Ratio,0.63,0.63,0.42,0.40,0.08,0.08,0.08,0.08,0.08,0.08,0.33,0.20,0.56,0.13,0.25,0.65,0.65,0.54,0.24,0.33,0.39,0.23,0.68,0.53,0.30,0.46,0.38,0.36,0.28,0.57,0.15,0.23,0.54,0.52,-,-,-,0.59
Dividend Yield,0.52%,-,0.26%,0.24%,0.24%,0.21%,0.24%,0.23%,0.19%,0.23%,0.36%,0.36%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Payout Ratio,-9.20%,0.00%,-1.90%,11.80%,12.10%,18.20%,12.90%,21.10%,12.00%,12.50%,16.70%,16.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-,-,-,-,-,-,-,-,-
Buyback Yield / Dilution,4.74%,3.95%,4.52%,2.63%,3.02%,4.42%,5.42%,4.63%,3.85%,-14.88%,3.92%,3.79%,2.91%,16.74%,-0.30%,-0.50%,-0.11%,-0.92%,-1.55%,-1.13%,-1.11%,-0.28%,-0.37%,-0.27%,-0.27%,3.30%,3.36%,3.43%,3.49%,-,-,-,-,-,-,-,-,-
Total Shareholder Return,5.28%,3.95%,4.78%,2.87%,3.25%,4.63%,5.65%,4.86%,4.04%,-14.64%,4.28%,4.15%,2.91%,16.74%,-0.30%,-0.50%,-0.11%,-0.92%,-1.55%,-1.13%,-1.11%,-0.28%,-0.37%,-0.27%,-0.27%,3.30%,3.36%,3.43%,3.49%,-,-,-,-,-,-,-,-,-
