Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Market Capitalization,"15,703","7,832","5,278","4,672","5,645","7,224","9,486","11,141","13,564",818,698,541,532,494,-,-
Market Cap Growth,-,8.43%,-44.36%,-58.06%,-58.38%,783.49%,1260.00%,1958.23%,2447.90%,65.49%,-,-,-,-,-,-
Enterprise Value,"21,987","14,086","14,008","10,839","11,446","12,665","26,979","22,376","25,411","5,418","7,679",542,532,493,0,0
PE Ratio,56.44,998.51,126.53,79.27,77.87,99.79,96.36,7.67,4.71,0.24,0.21,0.27,0.95,-,-,-
PS Ratio,9.19,4.58,2.23,1.75,2.11,2.78,3.19,2.66,2.55,0.14,0.14,0.17,0.41,-,-,-
PB Ratio,127.58,63.51,36.77,32.87,40.67,51.77,66.62,85.51,123.59,7.22,0.29,108.26,106.47,98.81,-,-
Debt / Equity Ratio,56.70,56.70,65.72,49.01,48.70,45.46,127.98,93.53,117.51,54.69,3.46,0.20,-,-,-10.71,39.80
Current Ratio,-,-,-,-,-,-,-,-,-,-,0.05,0.11,3.09,2.40,0.97,1.01
Dividend Yield,7.89%,-,0.18%,0.20%,0.16%,2.21%,1.69%,1.44%,1.18%,19.63%,-,-,-,-,-,-
Payout Ratio,333.30%,0.00%,-,76.90%,111.10%,41.70%,55.60%,40.00%,125.00%,21.30%,0.00%,0.00%,-,0.00%,-,-
Buyback Yield / Dilution,94.17%,94.17%,94.21%,94.23%,94.23%,0.68%,-82.18%,-92.58%,-95.73%,-94.08%,-361.96%,-356.52%,-,-,-,-
Total Shareholder Return,102.05%,94.17%,94.39%,94.43%,94.40%,2.89%,-80.49%,-91.14%,-94.55%,-74.45%,-361.96%,-356.52%,-,-,-,-
