Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+94 Quarters
Market Capitalization,285,247,305,268,267,262,284,274,249,220,186,151,144,105,199,201,192,186,151,193,195,183,207,231,180,135,116,105,105,100,100,101,97,91,98,94,99,98,100,104,101,Upgrade
Market Cap Growth,-,-5.62%,7.51%,-2.21%,7.16%,19.08%,53.06%,81.81%,73.27%,109.74%,-6.69%,-24.78%,-25.18%,-43.45%,31.44%,3.81%,-1.28%,1.46%,-26.73%,-16.46%,8.47%,35.46%,78.58%,119.26%,71.26%,34.66%,15.26%,4.72%,7.82%,10.55%,2.76%,6.82%,-1.48%,-7.06%,-2.27%,-9.71%,-1.98%,-0.78%,5.24%,6.40%,79.79%,Upgrade
Enterprise Value,423,440,422,240,114,56,138,102,-725,-100,113,-18,60,51,193,168,166,72,53,27,77,0,118,125,61,32,48,34,8,52,77,57,50,29,62,67,72,79,92,82,73,Upgrade
PE Ratio,6.46,4.94,6.76,8.09,6.49,6.19,6.23,6.94,2.92,1.61,5.68,4.84,3.21,14.00,10.22,10.50,-79.71,9.61,7.38,10.65,11.21,11.64,15.63,12.60,11.15,9.76,9.33,15.06,11.93,13.87,14.39,13.48,11.23,12.95,15.46,14.34,45.53,55.86,17.94,81.57,122.81,Upgrade
PS Ratio,2.49,7.50,10.42,10.87,9.72,10.12,10.79,10.99,6.76,3.85,8.82,7.28,5.34,6.38,12.13,12.30,10.59,11.40,9.12,12.48,12.17,12.41,15.51,15.51,10.94,9.62,8.28,9.29,8.25,9.13,8.67,9.59,8.10,8.84,9.41,9.11,10.30,12.24,10.45,12.14,9.88,Upgrade
PB Ratio,1.00,0.87,1.16,1.06,1.08,1.06,1.19,1.14,1.07,1.02,1.02,0.87,0.87,0.66,1.22,1.27,1.25,1.21,1.02,1.35,1.41,1.37,1.59,1.82,1.46,1.14,1.01,0.95,0.90,0.88,0.88,0.89,0.86,0.81,0.88,0.83,0.88,0.86,0.87,0.92,0.88,Upgrade
Debt / Equity Ratio,9.10,9.10,9.66,5.91,5.37,5.33,5.10,4.77,8.36,6.91,5.78,6.28,6.63,6.72,6.39,6.10,6.51,7.04,7.04,7.46,7.36,7.72,6.96,7.28,7.77,7.65,7.81,7.83,7.46,7.06,6.80,6.55,6.54,6.40,6.30,5.91,5.80,5.59,5.41,5.37,4.89,Upgrade
Current Ratio,2.05,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Asset Turnover,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,Upgrade,
Return on Equity (ROE),4.41%,4.29%,3.29%,4.15%,4.28%,4.77%,4.12%,9.20%,15.75%,4.49%,4.52%,6.81%,1.18%,2.98%,3.02%,-0.39%,3.15%,3.45%,3.16%,3.14%,2.94%,2.54%,3.62%,3.28%,2.92%,2.70%,1.57%,1.89%,1.58%,1.52%,1.64%,1.92%,1.56%,1.42%,1.45%,0.48%,0.38%,1.22%,0.28%,0.18%,Upgrade,
Return on Assets (ROA),0.44%,0.40%,0.48%,0.65%,0.68%,0.78%,0.71%,0.98%,1.99%,0.66%,0.62%,0.89%,0.15%,0.40%,0.43%,-0.05%,0.39%,0.43%,0.37%,0.38%,0.34%,0.32%,0.44%,0.37%,0.34%,0.31%,0.18%,0.22%,0.20%,0.20%,0.22%,0.25%,0.21%,0.20%,0.21%,0.07%,0.06%,0.19%,0.04%,0.03%,Upgrade,
Return on Capital (ROIC),1.09%,0.75%,0.75%,0.90%,1.02%,1.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,Upgrade,
Earnings Yield,14.90%,5.06%,3.70%,3.09%,3.85%,4.04%,4.01%,3.60%,8.57%,15.51%,4.40%,5.17%,7.80%,1.79%,2.45%,2.38%,-0.31%,2.60%,3.39%,2.35%,2.23%,2.15%,1.60%,1.98%,2.24%,2.56%,2.68%,1.66%,2.10%,1.80%,1.74%,1.85%,2.23%,1.93%,1.62%,1.74%,0.55%,0.45%,1.39%,0.31%,0.20%,Upgrade
