Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2019-12-31
Market Capitalization,"8,384","9,067","8,596","8,600","7,382","9,305",-,-,-,-,-,-
Market Cap Growth,-,-2.55%,-,-,-,-,-,-,-,-,-,-
Enterprise Value,"7,879","8,562","7,915","7,972","6,627","8,272",-547,"-1,304",-,-,-305,-102
PE Ratio,-131.65,-131.65,-31.87,129.18,190.46,191.40,-,-,-,-,-,-
PS Ratio,5.46,5.91,4.29,3.25,2.85,1.91,-,-,-,-,-,-
PB Ratio,16.46,17.81,16.87,-,-,-,-,-,-,-,-,-
Debt / Equity Ratio,0.87,0.87,0.87,-,-,-,0.28,0.14,-,-,0.23,0.28
Dividend Yield,5.89%,-,0.93%,1.40%,1.84%,-,-,-,-,-,-,-
Payout Ratio,129.80%,0.00%,92.90%,88.60%,-293.30%,0.00%,-,-,-,-,-,-
Buyback Yield / Dilution,-0.33%,-0.08%,74.17%,74.18%,74.18%,74.18%,-,-,-,-,-,-
Total Shareholder Return,5.56%,-0.08%,75.11%,75.58%,76.03%,74.18%,-,-,-,-,-,-
