Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
Market Capitalization,"12,124","14,702","19,389","17,030","17,682","19,136","20,138","20,017","19,537","18,768","15,272","10,790","10,768","8,040","17,654","15,813","16,207","14,963","13,911","18,357","18,856","20,458","20,654","18,960","18,074","17,590","18,238","12,836","10,569","11,058","13,819","12,587","14,666","13,173","13,566","13,115",-,-,-
Market Cap Growth,-,-23.17%,-3.72%,-14.92%,-9.49%,1.96%,31.86%,85.51%,81.44%,133.44%,-13.49%,-31.77%,-33.56%,-46.27%,26.91%,-13.86%,-14.05%,-26.86%,-32.65%,-3.18%,4.33%,16.31%,13.24%,47.71%,71.01%,59.07%,31.98%,1.98%,-27.94%,-16.06%,1.86%,-4.03%,-,-,-,-,-,-,-
Enterprise Value,"23,703","26,281","24,429","25,158","28,902","14,434","17,670","12,967","13,514","12,186","10,822","10,607","12,304","21,198","28,292","25,696","25,965","24,764","26,931","32,243","30,343","31,752","31,866","31,911","29,061","28,881","31,244","24,515","21,484","22,718","23,696","21,775","26,047","22,883","25,091","23,895","10,576",-,"5,457"
PE Ratio,6.02,7.17,9.89,9.27,10.22,9.50,9.13,9.39,10.19,12.30,16.08,11.32,9.82,6.16,10.28,9.08,9.29,8.62,8.22,9.62,10.40,11.99,12.61,15.12,15.02,15.59,17.69,13.23,11.84,13.16,16.59,15.56,18.68,14.51,15.68,15.99,-,-,-
PS Ratio,1.54,1.87,2.57,2.36,2.58,2.77,2.85,2.90,2.98,3.11,2.89,2.06,1.99,1.42,2.90,2.60,2.69,2.53,2.40,3.22,3.38,3.73,3.84,3.61,3.50,3.50,3.73,2.69,2.30,2.44,3.06,2.81,3.30,2.78,2.91,2.86,-,-,-
PB Ratio,0.50,0.61,0.82,0.74,0.73,0.87,0.86,0.86,0.84,0.83,0.67,0.48,0.48,0.37,0.80,0.72,0.74,0.70,0.67,0.91,0.92,1.02,1.02,0.94,0.90,0.89,0.92,0.64,0.52,0.55,0.70,0.64,0.75,0.67,0.70,0.68,-,-,-
Debt / Equity Ratio,0.82,0.82,0.67,0.71,0.75,0.27,0.30,0.30,0.30,0.37,0.38,0.42,0.42,0.80,0.65,0.64,0.59,0.58,0.83,0.89,0.76,0.76,0.71,0.76,0.78,0.79,0.87,0.76,0.76,0.70,0.68,0.58,0.74,0.78,0.79,0.72,0.83,-,0.44
Dividend Yield,6.71%,1.39%,1.07%,1.23%,1.09%,0.87%,0.83%,0.83%,0.85%,0.89%,1.09%,1.55%,1.55%,2.08%,0.89%,1.02%,0.91%,0.99%,0.91%,0.70%,0.57%,0.53%,0.43%,0.48%,0.39%,0.41%,0.34%,0.49%,0.60%,0.48%,0.38%,0.42%,0.37%,0.42%,0.41%,-,-,-,-
Payout Ratio,39.50%,42.00%,33.10%,34.10%,57.40%,41.50%,33.30%,33.10%,26.90%,28.30%,39.40%,57.40%,73.60%,1300.00%,36.70%,37.10%,33.70%,34.80%,27.80%,29.30%,25.00%,28.20%,13.40%,26.50%,22.20%,23.00%,22.20%,21.40%,26.10%,24.40%,24.40%,25.00%,28.60%,26.30%,27.80%,0.00%,0.00%,0.00%,0.00%
Buyback Yield / Dilution,-14.84%,-14.84%,-16.08%,-16.28%,-15.37%,0.75%,0.35%,0.04%,0.00%,0.35%,1.83%,4.28%,6.91%,7.16%,6.99%,6.38%,5.52%,5.47%,4.98%,4.89%,4.19%,4.32%,3.97%,3.64%,4.33%,3.60%,3.05%,2.30%,1.77%,3.52%,3.73%,4.79%,3.59%,1.82%,1.67%,-0.04%,-,-,-
Total Shareholder Return,-8.14%,-13.45%,-15.01%,-15.05%,-14.29%,1.62%,1.18%,0.87%,0.85%,1.24%,2.93%,5.83%,8.46%,9.25%,7.88%,7.40%,6.43%,6.46%,5.89%,5.59%,4.76%,4.84%,4.40%,4.12%,4.72%,4.01%,3.39%,2.79%,2.37%,4.00%,4.12%,5.22%,3.96%,2.24%,2.07%,-0.04%,-,-,-
