Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
Market Capitalization,"1,403","1,405","1,410","1,476","1,713","1,998","1,951","1,867","1,993","1,964","1,941",608,656,498,859,810,793,827,739,892,823,768,890,915,819,895,855,791,726,712,690,668,858,750,-
Market Cap Growth,-,-29.66%,-27.72%,-20.93%,-14.05%,1.74%,0.49%,206.91%,203.89%,294.21%,126.00%,-24.93%,-17.29%,-39.77%,16.18%,-9.10%,-3.65%,7.67%,-16.93%,-2.60%,0.50%,-14.22%,4.16%,15.76%,12.79%,25.84%,23.87%,18.34%,-15.42%,-5.08%,-,-,-,-,-
Enterprise Value,"3,288","3,294","3,383","3,540","3,688","3,832","3,779","3,322","3,456","3,510","3,536","1,502","1,549","1,384","1,619","1,527","1,625","1,526","1,392","1,460","1,318","1,288","1,421","1,347","1,189","1,388","1,348","1,247","1,179","1,128","1,086","1,103","1,148",965,341
PE Ratio,30.45,32.76,25.64,16.35,12.61,11.61,10.14,5.73,6.22,6.54,11.02,49.14,-58.76,-16.69,23.76,31.19,21.96,22.09,13.77,13.26,12.41,14.38,17.96,21.36,17.27,17.98,21.02,21.81,26.81,18.73,14.79,13.58,18.26,18.07,-
PS Ratio,3.62,3.64,3.95,4.41,5.09,5.83,5.62,5.46,7.20,8.78,11.22,4.70,4.86,3.49,5.83,5.48,5.32,5.60,5.04,6.15,5.82,5.48,6.51,6.88,6.17,7.11,6.83,6.25,5.79,5.77,5.83,6.02,8.84,8.73,-
PB Ratio,0.89,0.89,0.94,0.96,1.08,1.24,1.21,1.15,1.22,1.21,1.20,0.97,1.07,0.84,1.27,1.18,1.14,1.19,1.04,1.22,1.13,1.06,1.23,1.25,1.12,1.35,1.29,1.17,1.09,1.05,1.00,0.95,1.22,1.09,-
Debt / Equity Ratio,1.22,1.22,1.34,1.36,1.27,1.16,1.15,1.00,0.97,0.98,1.01,1.46,1.49,1.53,1.14,1.06,1.22,1.01,0.93,0.79,0.69,0.72,0.75,0.61,0.56,0.76,0.75,0.70,0.70,0.63,0.61,0.64,0.43,0.33,0.61
Dividend Yield,14.05%,3.35%,3.28%,3.12%,2.68%,2.29%,2.35%,2.72%,2.55%,2.59%,1.25%,2.99%,2.77%,3.65%,2.11%,2.24%,2.29%,2.19%,2.45%,2.03%,2.20%,2.35%,2.03%,1.97%,2.08%,1.83%,1.91%,2.07%,2.25%,2.30%,2.37%,2.44%,1.89%,-,-
Payout Ratio,428.60%,166.70%,1125.00%,-642.90%,250.00%,115.40%,118.40%,135.10%,92.60%,83.30%,14.20%,56.20%,52.30%,-28.50%,204.50%,204.50%,112.50%,750.00%,-1500.00%,95.70%,104.70%,97.80%,150.00%,100.00%,375.00%,112.50%,300.00%,72.60%,236.80%,300.00%,4500.00%,121.60%,90.00%,0.00%,0.00%
Buyback Yield / Dilution,-2.68%,-2.68%,-1.01%,-0.63%,-0.32%,-0.28%,-88.73%,-151.55%,-151.60%,-151.47%,-33.64%,-0.27%,-0.26%,-0.34%,-0.35%,-0.35%,-0.31%,-0.28%,-0.20%,-0.21%,-5.99%,-10.48%,-10.50%,-10.43%,-4.38%,-0.09%,-0.02%,-0.08%,-0.48%,-19.77%,-23.48%,-23.19%,-21.68%,0.22%,-
Total Shareholder Return,11.40%,0.67%,2.28%,2.49%,2.36%,2.02%,-86.38%,-148.82%,-149.05%,-148.88%,-32.39%,2.72%,2.51%,3.31%,1.77%,1.89%,1.98%,1.92%,2.25%,1.81%,-3.79%,-8.13%,-8.47%,-8.45%,-2.30%,1.73%,1.89%,1.99%,1.77%,-17.47%,-21.11%,-20.74%,-19.78%,0.22%,-
