Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+5 Quarters
Market Capitalization,44,44,19,35,79,366,457,539,370,33,3,3,4,2,2,3,5,6,7,17,29,18,1,2,1,5,10,10,10,10,10,10,20,12,10,11,18,19,20,52,69,Upgrade
Market Cap Growth,-,-88.02%,-95.90%,-93.50%,-78.64%,995.68%,13518.86%,20967.58%,10411.70%,1505.38%,69.35%,-24.10%,-31.53%,-64.90%,-72.42%,-80.65%,-82.34%,-67.84%,884.17%,881.87%,2433.36%,292.08%,-93.00%,-83.00%,-87.91%,-54.55%,1.01%,1.01%,-52.11%,-13.91%,3.13%,-1.98%,8.57%,-37.84%,-49.47%,-79.80%,-73.54%,-72.22%,-71.85%,-53.12%,-50.34%,Upgrade
Enterprise Value,64,68,49,93,120,408,475,511,367,31,3,-4,-10,-8,1,3,4,5,7,19,31,20,3,1,1,4,11,10,9,10,10,9,19,14,12,12,19,18,20,51,68,Upgrade
PE Ratio,-0.83,-0.83,-0.36,-1.09,-5.78,-20.57,-10.17,-11.67,-7.83,-0.77,-0.67,-0.34,-0.74,-0.45,-0.51,-0.72,-1.19,-1.78,-2.01,-7.28,-11.16,-7.68,-0.25,-0.67,-0.53,-2.84,-9.17,-6.90,-5.86,-5.72,-5.57,-8.32,-16.80,-11.61,-8.39,-9.12,-12.19,-7.84,-6.99,-13.79,-69.63,Upgrade
PS Ratio,0.55,0.60,0.22,0.40,1.13,6.54,10.43,21.15,23.85,3.12,0.76,0.90,1.86,2.70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
PB Ratio,0.59,0.65,0.24,0.37,0.78,3.49,3.98,4.84,12.53,1.10,0.44,-0.40,-1.01,-0.56,3.71,-22.94,11.05,4.77,33.93,-7.94,-12.83,-7.87,-0.24,-0.37,-0.25,-1.08,-12.56,-2.69,-2.61,-2.97,-1722.81,-4.34,-7.94,-5.53,-5.93,-7.64,-17.25,-34.43,-142.72,-621.50,375.37,Upgrade
Debt / Equity Ratio,0.38,0.38,0.41,0.63,0.43,0.46,0.20,0.03,0.04,0.04,0.05,-0.04,0.00,0.00,0.04,-10.93,3.69,1.48,12.43,-0.87,-1.03,-1.18,-1.03,-,-,-,-0.49,-,-,-,-,-,-,-1.24,-1.45,-1.46,-1.74,-,-10.70,-,-,Upgrade
Current Ratio,0.35,0.35,0.57,0.60,0.18,0.41,0.57,7.50,0.85,1.51,0.80,1.05,1.13,1.15,1.79,0.92,1.21,1.57,1.06,0.11,0.23,0.30,0.16,0.08,0.08,0.09,0.08,0.14,0.15,0.16,1.66,0.32,0.22,0.26,0.37,0.38,0.49,0.71,0.92,1.19,1.44,Upgrade
Buyback Yield / Dilution,-17.70%,-17.70%,-44.99%,-8.79%,-42.44%,-60.69%,-693.25%,-10553.98%,-7240.60%,-6628.76%,-502.77%,36.63%,34.26%,27.37%,-108.44%,-102.83%,-105.70%,-106.65%,-64.28%,-48.86%,-67.52%,-44.99%,-13.76%,-722.65%,-594.83%,-594.83%,-388.48%,-,-,-,-42.24%,-,-,-,-,4.39%,-,4.39%,11.35%,-1.84%,-,Upgrade
Total Shareholder Return,-17.70%,-17.70%,-44.99%,-8.79%,-42.44%,-60.69%,-693.25%,-10553.98%,-7240.60%,-6628.76%,-502.77%,36.63%,34.26%,27.37%,-108.44%,-102.83%,-105.70%,-106.65%,-64.28%,-48.86%,-67.52%,-44.99%,-13.76%,-722.65%,-594.83%,-594.83%,-388.48%,-,-,-,-42.24%,-,-,-,-,4.39%,-,4.39%,11.35%,-1.84%,-,Upgrade
