Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+62 Quarters
Market Capitalization,514,"1,036","1,407","1,438","1,521","1,822","1,864","1,838","1,792","1,691","1,331",863,"1,055",991,"1,633","1,541","1,870","1,728","1,673","1,736","2,103","2,048","1,979","2,291","2,159","2,036","2,050","1,657","1,616","1,610","1,689","1,520","1,466","1,171",925,828,877,937,790,729,576,Upgrade
Market Cap Growth,-,-43.13%,-24.53%,-21.75%,-15.15%,7.71%,40.01%,112.85%,69.84%,70.63%,-18.48%,-43.98%,-43.55%,-42.63%,-2.39%,-11.22%,-11.09%,-15.64%,-15.45%,-24.24%,-2.60%,0.56%,-3.46%,38.29%,33.60%,26.45%,21.36%,9.04%,10.20%,37.58%,82.66%,83.50%,67.25%,24.94%,17.01%,13.57%,52.29%,83.01%,72.85%,109.54%,80.79%,Upgrade
Enterprise Value,"2,590","3,112","2,204","1,931","1,504","1,381",579,-229,766,519,165,629,"1,046",679,"1,920","1,523","2,179","2,132","1,599","2,130","2,383","2,383","2,407","2,333","2,148","1,931","1,967","1,476","1,569","1,544","1,532","1,347","1,196",892,949,788,861,812,603,630,521,Upgrade
PE Ratio,4.46,8.67,9.98,10.25,10.37,10.18,10.55,10.56,10.44,11.09,10.07,6.71,8.52,7.49,11.43,10.43,12.44,11.50,10.99,13.61,17.75,18.80,19.74,20.76,20.56,20.08,20.98,17.58,17.75,18.37,20.21,20.04,21.42,19.34,17.24,16.25,18.03,19.78,17.02,16.34,13.53,Upgrade
PS Ratio,1.53,3.09,3.97,4.00,4.12,4.77,4.82,4.87,4.79,4.87,4.16,2.71,3.40,3.08,4.85,4.57,5.54,5.15,5.06,5.32,6.60,6.57,6.50,7.76,7.51,7.28,7.48,6.21,6.22,6.38,6.87,6.47,6.66,5.78,4.97,4.79,5.27,5.74,4.94,4.67,3.84,Upgrade
PB Ratio,0.41,0.83,1.15,1.18,1.21,1.42,1.38,1.38,1.37,1.34,1.07,0.71,0.89,0.85,1.37,1.30,1.58,1.50,1.51,1.64,2.06,2.08,2.08,2.45,2.39,2.33,2.43,2.03,2.05,2.11,2.29,1.93,1.92,1.58,1.49,1.87,2.05,2.28,2.01,1.91,1.56,Upgrade
Debt / Equity Ratio,1.81,1.81,0.90,0.52,0.33,0.22,0.32,0.33,0.44,0.45,0.50,0.51,0.53,0.54,0.44,0.32,0.43,0.46,0.22,0.55,0.53,0.55,0.65,0.53,0.48,0.43,0.34,0.41,0.25,0.18,0.19,0.17,0.17,0.18,0.45,0.38,0.23,0.26,0.30,0.32,0.37,Upgrade
Dividend Yield,10.76%,1.34%,1.02%,1.00%,0.84%,0.70%,0.69%,0.61%,0.45%,0.41%,0.53%,0.82%,0.67%,0.73%,0.45%,-,0.41%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.05%,Upgrade
Payout Ratio,46.70%,57.70%,34.10%,38.80%,81.60%,28.00%,30.80%,25.70%,16.70%,16.20%,18.20%,17.20%,24.40%,31.40%,20.80%,0.00%,20.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,499.80%,Upgrade
Buyback Yield / Dilution,3.14%,3.14%,0.10%,-0.39%,-0.37%,-0.53%,0.88%,0.83%,0.82%,3.13%,4.02%,6.70%,6.70%,4.67%,2.23%,-0.68%,-0.68%,-0.58%,-0.50%,-0.39%,-0.58%,-0.31%,-1.62%,-1.74%,-1.54%,-1.67%,-0.50%,-0.58%,-0.70%,-10.07%,-28.55%,-28.33%,-28.40%,-17.45%,-0.90%,-0.97%,-0.98%,-0.88%,-2.45%,-12.59%,-15.66%,Upgrade
Total Shareholder Return,13.89%,4.48%,1.12%,0.62%,0.47%,0.17%,1.57%,1.44%,1.26%,3.54%,4.55%,7.52%,7.37%,5.40%,2.68%,-0.68%,-0.28%,-0.58%,-0.50%,-0.39%,-0.58%,-0.31%,-1.62%,-1.74%,-1.54%,-1.67%,-0.50%,-0.58%,-0.70%,-10.07%,-28.55%,-28.33%,-28.40%,-17.45%,-0.90%,-0.97%,-0.98%,-0.88%,-2.45%,-12.59%,-5.62%,Upgrade
