Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+66 Quarters
Market Capitalization,"9,977","8,876","9,497","8,430","7,857","7,355","7,402","7,565","7,750","8,568","7,874","6,467","4,836","5,266","10,209","10,034","9,761","8,922","8,803","9,202","8,613","9,930","10,043","8,999","8,267","8,169","8,079","6,915","6,214","6,277","5,625","6,021","6,280","6,410","6,019","5,494","5,450","5,637","5,464","4,755","5,010",Upgrade
Market Cap Growth,-,20.69%,28.31%,11.43%,1.38%,-14.16%,-6.00%,16.99%,60.27%,62.71%,-22.88%,-35.55%,-50.46%,-40.98%,15.98%,9.04%,13.34%,-10.15%,-12.34%,2.26%,4.18%,21.56%,24.30%,30.13%,33.05%,30.15%,43.63%,14.85%,-1.05%,-2.08%,-6.55%,9.60%,15.23%,13.71%,10.16%,15.53%,8.78%,27.78%,38.24%,11.47%,27.74%,Upgrade
Enterprise Value,"10,986","10,037","10,531","9,125","9,120","8,479","8,301","8,025","7,992","9,365","8,427","7,192","4,529","5,996","12,339","11,390","11,490","10,346","10,383","10,970","10,728","11,961","12,311","11,380","10,756","10,605","10,808","9,472","9,138","7,972","7,296","7,501","8,184","8,415","7,445","7,172","6,879","7,259","7,240","6,031","6,460",Upgrade
PE Ratio,10.66,9.46,15.24,10.10,14.85,10.90,12.00,12.76,9.36,13.35,18.97,12.48,8.51,8.60,11.74,13.47,12.46,11.35,12.30,5.05,4.93,5.59,5.51,11.31,10.79,10.60,11.52,10.25,11.11,13.84,11.20,11.36,10.39,9.53,8.80,8.61,8.82,15.24,13.05,9.57,9.95,Upgrade
PS Ratio,0.59,0.54,0.58,0.52,0.49,0.45,0.44,0.46,0.48,0.55,0.54,0.45,0.34,0.37,0.71,0.73,0.73,0.68,0.68,0.72,0.68,0.78,0.80,0.73,0.68,0.68,0.70,0.61,0.57,0.60,0.54,0.59,0.59,0.60,0.55,0.50,0.51,0.54,0.53,0.46,0.48,Upgrade
PB Ratio,1.29,1.16,1.34,2.31,1.35,0.80,0.57,0.59,0.58,0.71,0.55,0.49,0.39,0.57,0.88,0.87,0.91,0.92,1.04,1.07,1.00,1.10,1.05,1.11,1.04,1.10,1.14,0.87,0.82,0.93,0.92,0.97,0.97,0.90,0.86,0.82,0.82,0.90,0.92,0.81,0.85,Upgrade
Debt / Equity Ratio,0.58,0.58,0.56,1.15,0.65,0.42,0.30,0.27,0.26,0.32,0.28,0.30,0.32,0.38,0.31,0.35,0.38,0.36,0.41,0.41,0.41,0.39,0.37,0.44,0.45,0.49,0.55,0.49,0.52,0.48,0.52,0.52,0.50,0.43,0.44,0.42,0.42,0.44,0.45,0.46,0.41,Upgrade
Dividend Yield,2.13%,0.60%,0.56%,0.64%,0.62%,0.67%,0.67%,0.66%,0.61%,0.56%,0.60%,0.74%,0.89%,0.83%,0.43%,0.44%,0.38%,0.42%,0.43%,0.42%,0.37%,0.32%,0.32%,0.36%,0.32%,0.32%,0.33%,0.38%,0.38%,0.38%,0.43%,0.41%,0.35%,0.35%,0.38%,0.41%,0.38%,0.38%,0.39%,0.45%,0.35%,Upgrade
Payout Ratio,22.30%,21.20%,26.10%,18.90%,24.70%,24.90%,31.50%,-228.10%,13.80%,34.30%,35.70%,22.40%,28.10%,-49.60%,18.70%,16.70%,18.60%,22.20%,33.70%,12.60%,15.70%,32.30%,2.60%,14.20%,11.40%,18.10%,13.90%,13.20%,10.10%,31.40%,14.90%,29.40%,16.80%,17.90%,11.90%,14.30%,10.50%,15.50%,14.80%,15.40%,-34.80%,Upgrade
Buyback Yield / Dilution,0.49%,0.49%,1.13%,1.46%,1.46%,1.15%,0.50%,-0.09%,-10.28%,-8.61%,-8.51%,-8.24%,1.46%,0.41%,0.26%,1.41%,3.04%,2.55%,2.53%,1.30%,-0.20%,-0.23%,-0.31%,-0.67%,-0.51%,1.34%,2.34%,3.61%,3.22%,5.20%,4.29%,3.05%,4.17%,2.83%,2.68%,3.41%,4.72%,4.25%,4.42%,3.70%,1.65%,Upgrade
Total Shareholder Return,2.66%,1.09%,1.69%,2.09%,2.09%,1.82%,1.16%,0.57%,-9.67%,-8.06%,-7.90%,-7.51%,2.35%,1.24%,0.69%,1.84%,3.43%,2.97%,2.96%,1.71%,0.17%,0.10%,0.01%,-0.31%,-0.19%,1.67%,2.67%,3.99%,3.60%,5.58%,4.72%,3.46%,4.52%,3.19%,3.05%,3.82%,5.10%,4.62%,4.81%,4.15%,1.99%,Upgrade
